@relation processed-tweets-weka.filters.unsupervised.attribute.NominalToString-Cfirst

@attribute Tweet string
@attribute Sentiment {negative,positive}

@data
'cold NEGATIVESMILE',negative
'just dont know roll eye DOTS — teka lang talaga sorri NEGATIVESMILE swear NEGATIVESMILE sino ba s DOTS URL ENLARGED_NEGATIVESMILE',negative
'feel worri NEGATIVESMILE',negative
'fatass cant breath NEGATIVESMILE',negative
'bore NEGATIVESMILE',negative
'horrend headach just need just go lay dark room NEGATIVESMILE',negative
'srsli wtf make genuin sad NEGATIVESMILE URL',negative
'dmspree ka ver NEGATIVESMILE 28 oliverlanc day',negative
'im black friday shop mom kohl lost NEGATIVESMILE mam ENLARGEDDWORD',negative
'sistar HASHTAG kpop convent 6 28th decemb oh alreadi left ph NEGATIVESMILE im die see girl ENLARGEDDWORD ENLARGEDDWORD',negative
'cat unaffection NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'happi overload day POSITIVESMILE wish sissi NEGATIVESMILE hey queen miss much DOTS URL ENLARGED_POSITIVESMILE',negative
'fm feel maganda NEGATIVESMILE',negative
'ilovejalenmcmillan HASHTAG likley even read right now NEGATIVESMILE beauti 1235',negative
'1yearexoshowtime HASHTAG NEGATIVESMILE im gonna cri now NEGATIVESMILE (( ENLARGED_NEGATIVESMILE',negative
'embarrass pictures/video peopl kick save bob two wtf retail laugh make look like mug notme HASHTAG NEGATIVEHASHTAG',negative
'feel NEGATIVEHASHTAG fa yesterday DOTS much sad DOTS',negative
'instead celebr life URL leader busi declar sycoph NEGATIVEHASHTAG',negative
'dont NEGATIVEHASHTAG person prefer anoth person HASHTAG uh becox uh cant convinc monkey HASHTAG honey sweeter HASHTAG banana HASHTAG POSITIVESMILE',negative
'NEGATIVEHASHTAG 2 see news realli bare anyon shopping HASHTAG christmas HASHTAG halloween hu retail',negative
'realli draw circus animals day 🐵🐒🐘 circus HASHTAG animals HASHTAG NEGATIVEHASHTAG sketch HASHTAG doodle HASHTAG wip HASHTAG DOTS URL',negative
'peopl bulli NEGATIVEHASHTAG insecure HASHTAG weak HASHTAG lost HASHTAG rude HASHTAG selfish HASHTAG',negative
'work duniakerja HASHTAG duniakeras HASHTAG bengkel HASHTAG teknisi HASHTAG NEGATIVEHASHTAG fuckmoment HASHTAG funny HASHTAG URL',negative
'oh man peopl perfect hug tv box u know DOTS NEGATIVEHASHTAG fucker ENLARGEDDWORD',negative
'cold dark winterblues HASHTAG NEGATIVEHASHTAG tackl depression HASHTAG tip URL',negative
'miss bestfriend even miss NEGATIVEHASHTAG',negative
'wish peopl hang like old day NEGATIVESMILE socialproblems HASHTAG NEGATIVEHASHTAG',negative
'sad 😖when u send sweet message&th never answeroransw othersoransw mani hour NEGATIVEHASHTAG 😒',negative
'think fight peopl get blackfriday HASHTAG pathet exact never stay late get earli go NEGATIVEHASHTAG',negative
'peopl soul asham today bloodi animals £50 save blackfriday HASHTAG NEGATIVEHASHTAG animals HASHTAG',negative
'im depressed eat ice cream NEGATIVESMILE psy HASHTAG cholog HASHTAG psy HASHTAG NEGATIVEHASHTAG depressed HASHTAG feel HASHTAG feel HASHTAG ing ksa HASHTAG kau HASHTAG DOTS URL',negative
'filter✌ last HASHTAG day HASHTAG NEGATIVEHASHTAG times HASHTAG URL',negative
'today last day 7 year im realli go miss famili ❤️ bittersweet HASHTAG NEGATIVEHASHTAG',negative
'realli NEGATIVEHASHTAG phillip hugh just goe show never realli know what around corner young HASHTAG well',negative
'wist feel ❄😔 ❄ winter HASHTAG snow HASHTAG cold HASHTAG depression HASHTAG NEGATIVEHASHTAG grodno HASHTAG cathedral HASHTAG instabelarus HASHTAG DOTS URL',negative
'where pizza HASHTAG NEGATIVEHASHTAG ++ manuel HASHTAG',negative
'america dream come die NEGATIVEHASHTAG trending HASHTAG news HASHTAG freugeson HASHTAG americanbullshit HASHTAG nogod HASHTAG 🔫🔪💊💉💰 hero dead',negative
'aahh tv morn suppos get daili fix NEGATIVEHASHTAG',negative
'will alon cry HASHTAG NEGATIVEHASHTAG',negative
'roadbike HASHTAG puncture HASHTAG im NEGATIVEHASHTAG ill late work HASHTAG im sad cant ride HASHTAG bus bunk HASHTAG fuck',negative
'world sicken sad world HASHTAG sick HASHTAG NEGATIVEHASHTAG protests HASHTAG ferguson HASHTAG',negative
'dolla spent NEGATIVESMILE NEGATIVEHASHTAG NEGATIVEHASHTAG',negative
'broke car NEGATIVEHASHTAG',negative
'sad tired seem sink insid im alon 😔 NEGATIVEHASHTAG tiredasf HASHTAG',negative
'moment watch old convers long death friend NEGATIVEHASHTAG',negative
'will find way NEGATIVEHASHTAG alone HASHTAG way HASHTAG tears HASHTAG URL',negative
'URL yoga HASHTAG HASHTAG meditate HASHTAG mudra HASHTAG time yog 😞 NEGATIVEHASHTAG work HASHTAG yoga HASHTAG HASHTAG thisisyoga HASHTAG 🙏',negative
'rest peac phil hugh NEGATIVEHASHTAG',negative
'rip dearest carlo one cute handsom ador cat miss much 😞😢 NEGATIVEHASHTAG URL',negative
'seven mental health patient die wait bed URL sinc april 2011 total 2 179 bed cut NEGATIVEHASHTAG',negative
'also look window see light dust snow yup crazi storm last night DOTS sure get 25cm _ NEGATIVEHASHTAG',negative
'appl resel black friday save 20\% everyth URL humac HASHTAG NEGATIVEHASHTAG dk HASHTAG blackfriday HASHTAG except appl product',negative
'typic big store return polici wont except fault even deliv wrong product NEGATIVEHASHTAG newlook HASHTAG',negative
'corrupt sma phone here proof montreal HASHTAG construction HASHTAG NEGATIVEHASHTAG URL',negative
'river island 20\% server crash within minut kind embarass big retail NEGATIVEHASHTAG',negative
'nigel oh jontybark nigel_farag ukip cameronmustgo HASHTAG idea realiti jerk knee politician NEGATIVEHASHTAG',negative
'ive accept fact go fail welsh exam NEGATIVEHASHTAG',negative
'blackfriday HASHTAG fail websit built cope NEGATIVEHASHTAG NEGATIVEHASHTAG come guy',negative
'france HASHTAG HASHTAG recognize HASHTAG palestinian HASHTAG state HASHTAG HASHTAG peace HASHTAG effo s HASHTAG NEGATIVEHASHTAG pari (reuters) – france said friday DOTS URL',negative
'people HASHTAG keep wait light turn green HASHTAG leav home HASHTAG will never happen & NEGATIVEHASHTAG even sta HASHTAG',negative
'think media respons caus blackfriday HASHTAG chaos uk hype HASHTAG media HASHTAG sheep HASHTAG adv ise HASHTAG chaos HASHTAG sales HASHTAG NEGATIVEHASHTAG yobs HASHTAG',negative
'3 year degre im pretti sure lectur never mention b2b market DOTS there market b2c NEGATIVEHASHTAG',negative
'anoth black friday websit fail cmon tesco ed server capic blackfriday HASHTAG NEGATIVEHASHTAG URL',negative
'feel morn DOTS blackfriday HASHTAG sucks HASHTAG retail HASHTAG NEGATIVEHASHTAG shacklife HASHTAG URL',negative
'your site go site NEGATIVEHASHTAG group',negative
'think overdid first week back gym back kill today NEGATIVEHASHTAG gymproblems HASHTAG',negative
'first linkedin HASHTAG comm hi hannah free today chat servic dont know care NEGATIVEHASHTAG',negative
'possibl favourit ever NEGATIVEHASHTAG know im mean laugh URL',negative
'friday night & kid camp free night & sleep tomorrow where hub transit biz trip NEGATIVEHASHTAG',negative
'bare sale NEGATIVEHASHTAG blackfriday HASHTAG',negative
'sms spam hu s brand especi connect economi will peopl understand NEGATIVEHASHTAG',negative
'bad sock choic DOTS NEGATIVEHASHTAG URL',negative
'thank take web reserv last night tablet tell now valid blackfriday HASHTAG NEGATIVEHASHTAG',negative
'remak film standard set high origin anniemovie HASHTAG NEGATIVEHASHTAG',negative
'way abl work page ipad icloud share word doc open mac apple HASHTAG NEGATIVEHASHTAG stupid HASHTAG',negative
'need run payrol busi bank servic go back NEGATIVEHASHTAG blackfriday HASHTAG',negative
'moment realis youv left key home DOTS NEGATIVEHASHTAG',negative
'actual need go ikea today forgot f*ing black friday NEGATIVEHASHTAG ENLARGEDDWORD',negative
'massiv blackfriday HASHTAG NEGATIVEHASHTAG curri URL',negative
'uk store spend week shove blackfriday HASHTAG throat mani digit store buckl strain mcommerce HASHTAG NEGATIVEHASHTAG',negative
'amazon uk blackfriday HASHTAG NEGATIVEHASHTAG',negative
'term end 2 week suppos chosen project DOTS havent even titl yet good one leicest NEGATIVEHASHTAG',negative
'lunchtim & staff half enquiri counter branch DOTS NEGATIVEHASHTAG smh HASHTAG',negative
'NEGATIVEHASHTAG save children’ pr defend blair HASHTAG almost wors award great blog URL',negative
'phone sta ed drop hint need replac fallen 3rd time today NEGATIVESMILE tech HASHTAG NEGATIVEHASHTAG',negative
'fall price oil will remov last tatter arrog shred pretens conserv econom polici NEGATIVEHASHTAG cdnpoli HASHTAG',negative
'man can NEGATIVEHASHTAG mani time isnt NEGATIVEHASHTAG ure begin blame HASHTAG somebodi els john burrough',negative
'sma en nas 4 album 10 year homey can divid that one [album] everi let say two [years] NEGATIVEHASHTAG obviouslycannotdivide HASHTAG',negative
'wait car arriv need rob dont chang ticket machin NEGATIVEHASHTAG',negative
'photo epic HASHTAG NEGATIVEHASHTAG facepalm HASHTAG timesofindia HASHTAG make disastr blunder kill sachintendulkar HASHTAG DOTS rip HASHTAG DOTS URL',negative
'becki NEGATIVEHASHTAG miss cbc',negative
'never ever want nurs entir life senior quot tho 😅 NEGATIVEHASHTAG URL',negative
'weve come weve fail life URL wtf blackfriday HASHTAG NEGATIVEHASHTAG',negative
'mathemat genius HASHTAG mustv left combin weight legpress HASHTAG gym HASHTAG NEGATIVEHASHTAG URL',negative
'chicken extend trail cap immigr eu citizen still screw commonwealth & row NEGATIVEHASHTAG eu HASHTAG',negative
'book friday quiet xmas shop catchup mum total didnt appreci blackfriday HASHTAG mad NEGATIVEHASHTAG',negative
'much confus divers proper signag NEGATIVEHASHTAG (i excited)',negative
'websit crashed HASHTAG cours experienc high volum your run ton tv ad press ad NEGATIVEHASHTAG',negative
'write best poem life comput turn goe masterpiec NEGATIVEHASHTAG',negative
'look like next week burger van run go expens NEGATIVEHASHTAG',negative
'cfo mistaken s deal plan URL gonewrong HASHTAG socialmedia HASHTAG udontseethiseveryday HASHTAG NEGATIVEHASHTAG',negative
'dear googl turn top bottom bar black red actual drain batteri ole display NEGATIVEHASHTAG',negative
'say thought move prejud 2/2 prejudice HASHTAG NEGATIVEHASHTAG',negative
'point blackfridaydeals HASHTAG none can keep site much NEGATIVEHASHTAG',negative
'secret santa present got deliv offic unwrap everyon seen even person whos know NEGATIVEHASHTAG',negative
'franc 2012 olymp mexico murray won wimbledon will mexico rugbi world cup england NEGATIVEHASHTAG',negative
'success failure climb back URL POSITIVEHASHTAG NEGATIVEHASHTAG NEGATIVEHASHTAG ure motivation HASHTAG entrepreneur HASHTAG business HASHTAG marketing HASHTAG',negative
'wow capit consumer realli bring best peopl URL blackfriday HASHTAG NEGATIVEHASHTAG',negative
'guess noth believ blackfriday HASHTAG NEGATIVEHASHTAG',negative
'ha first type reve toself() add if() later work intellisens problem seem DOTS vs2015 HASHTAG NEGATIVEHASHTAG',negative
'dear oracl pleas pleas pleas stop break link document urlsareforlife HASHTAG learntoredirectproperly HASHTAG NEGATIVEHASHTAG',negative
'biggest repo ing NEGATIVEHASHTAG ever URL',negative
'time thought 1d special weekend NEGATIVEHASHTAG',negative
'10 peopl one job just total blew URL NEGATIVEHASHTAG NEGATIVEHASHTAG s',negative
'sarah palin cant make shit URL NEGATIVEHASHTAG wtf HASHTAG palin HASHTAG',negative
'dont let retouching HASHTAG NEGATIVEHASHTAG happen URL',negative
'need work can get charger iphon 4s see mine die ars NEGATIVEHASHTAG',negative
'hey realli black friday youv sent 5 shower instead lamp least well clean desk skills HASHTAG NEGATIVEHASHTAG',negative
'speech action said &done 5 year ago let uk descend crisi NEGATIVEHASHTAG',negative
'disappoint s onlin queue time complet inaccur NEGATIVEHASHTAG',negative
'oh bad respons employ forgot attach document email wow NEGATIVEHASHTAG comical HASHTAG',negative
'NEGATIVEHASHTAG think ice coffe drank denni keep awak',negative
'6 hour christma shop black friday got 2 purs one NEGATIVEHASHTAG',negative
'pay day ive lost bank card DOTS yes NEGATIVEHASHTAG ENLARGEDDWORD ENLARGEDDWORD',negative
'point onlin shop avoid queue popular site like currys/argo put us one ahahaha NEGATIVEHASHTAG',negative
'lol brother tri sneak hous time NEGATIVEHASHTAG',negative
'pointless hour deal cant get websit buy NEGATIVEHASHTAG',negative
'vatmoss HASHTAG vatmess HASHTAG almost though govern depa ment cant understand modern internet thing DOTS oh wait DOTS NEGATIVEHASHTAG',negative
'tri look angry NEGATIVEHASHTAG angry HASHTAG mediacorp caldecott broadcast centr URL',negative
'HASHTAG successful HASHTAG people HASHTAG one tri NEGATIVEHASHTAG HASHTAG tri sometim POSITIVEHASHTAG attempt HASHTAG',negative
'fucker tri take photo complet stranger cb never turn flash NEGATIVEHASHTAG',negative
'day6 mercedes HASHTAG car repair less r50 worst servic custom world NEGATIVEHASHTAG ENLARGEDDWORD',negative
'als ice bucket challenge HASHTAG NEGATIVEHASHTAG tgp HASHTAG lobaseuseuheun HASHTAG URL',negative
'amaz even tesco direct backfriday HASHTAG NEGATIVEHASHTAG URL',negative
'awesom blackfridaydeals HASHTAG just head websi oh wait nevermind NEGATIVEHASHTAG',negative
'curri pc world websit also couldnt handl black friday NEGATIVEHASHTAG blackfriday HASHTAG',negative
'that prepar compani black friday 37m wait time websit NEGATIVEHASHTAG blackfriday HASHTAG URL',negative
'comeback key URL NEGATIVEHASHTAG comeback HASHTAG business HASHTAG hope HASHTAG inspiration HASHTAG entrepreneur HASHTAG',negative
'cowork what monday first christma mean decemb NEGATIVEHASHTAG',negative
'talk tories HASHTAG strong word just NEGATIVEHASHTAG',negative
'thank u spam HASHTAG amd charg optout NEGATIVEHASHTAG URL',negative
'guess anoth signal failur DOTS londoncommuting HASHTAG NEGATIVEHASHTAG',negative
'bust twice doublegirl HASHTAG NEGATIVEHASHTAG',negative
'isnt whole idea internet screw access provid countri internettv HASHTAG NEGATIVEHASHTAG',negative
'decid get involv blackfriday HASHTAG mad NEGATIVEHASHTAG christmasgiftideas HASHTAG amazon HASHTAG got alreadi delivery HASHTAG come next week lol',negative
'know need inspir get last rep fuck take play NEGATIVEHASHTAG gymprobz HASHTAG',negative
'pervez rashid tri hard sound funni sarcast DOTS NEGATIVEHASHTAG becom illeg carri cash even illog',negative
'smalltim pa isan hack like chris uhlmann surviv sack NEGATIVEHASHTAG abccuts HASHTAG',negative
'4am failps4 HASHTAG complain can’t sta game without disc spend 15 minut forum look way resolv URL URL',negative
'extrem disappoint inspiron 14 74 POSITIVESMILE 7 special touchpad NEGATIVEHASHTAG',negative
'biggest NEGATIVEHASHTAG life HASHTAG DOTS dont even think lie DOTS respect HASHTAG URL',negative
'say bye past n say hello futur NEGATIVEHASHTAG stubborn HASHTAG guys HASHTAG dontfollowme HASHTAG donttalktome HASHTAG ale HASHTAG yall HASHTAG',negative
'darkness HASHTAG can drive darkness light HASHTAG can NEGATIVEHASHTAG can drive DOTS (w/ babyboy) URL',negative
'see peopl just born NEGATIVEHASHTAG dont understand god know theyr DOTS URL',negative
'bore DOTS emo HASHTAG boy HASHTAG emo HASHTAG HASHTAG NEGATIVEHASHTAG ungly HASHTAG sexy HASHTAG gay HASHTAG gay HASHTAG boy URL',negative
'POSITIVEHASHTAG human HASHTAG => unless cours NEGATIVEHASHTAG HASHTAG your insecure HASHTAG miserable HASHTAG DOTS URL',negative
'leav photography HASHTAG uni HASHTAG nikon HASHTAG POSITIVEHASHTAG NEGATIVEHASHTAG poetry HASHTAG editorial HASHTAG heels HASHTAG thelauralamb HASHTAG bath school DOTS URL',negative
'one random low day / hate kind day one HASHTAG random HASHTAG low HASHTAG day HASHTAG NEGATIVEHASHTAG kind HASHTAG DOTS URL',negative
'mensrights HASHTAG sexual abus happen everyday home abus aren’t untouch cele DOTS URL feminism HASHTAG NEGATIVEHASHTAG',negative
'HASHTAG NEGATIVEHASHTAG everything HASHTAG book HASHTAG swagshop HASHTAG URL',negative
'alway chasin pie sky NEGATIVEHASHTAG',negative
'NEGATIVEHASHTAG u s abandon tribe fought isi iraqi forc anbar provinc say need weapon DOTS URL',negative
'hate peopl fuck anal family HASHTAG NEGATIVEHASHTAG',negative
'babi im fool NEGATIVEHASHTAG',negative
'wanna see doin thing NEGATIVEHASHTAG',negative
'wonder can someth dont like think HASHTAG NEGATIVEHASHTAG NEGATIVEHASHTAG friday HASHTAG weekend HASHTAG',negative
'& comput gonna one love hate relationship URL im wrap track POSITIVEHASHTAG NEGATIVEHASHTAG digitallove HASHTAG',negative
'studying starbuckscoffee HASHTAG ao HASHTAG studying HASHTAG exile HASHTAG arashi HASHTAG music HASHTAG POSITIVEHASHTAG bff HASHTAG test HASHTAG NEGATIVEHASHTAG kyoto HASHTAG tbt HASHTAG DOTS URL',negative
'aint truth NEGATIVEHASHTAG loveistheanswer HASHTAG URL',negative
'mensrights HASHTAG poor guy treat like crap femal help submit b DOTS URL feminism HASHTAG NEGATIVEHASHTAG',negative
'URL hyrule warriors 5 HASHTAG | hate spiders HASHTAG DOTS | pa 2 URL h HASHTAG âte h HASHTAG yrule tiger HASHTAG warriors HASHTAG woods HASHTAG',negative
'NEGATIVEHASHTAG tell people HASHTAG problems HASHTAG prefer candid anonymous HASHTAG DOTS candid HASHTAG android HASHTAG URL',negative
'know evil NEGATIVEHASHTAG',negative
'fine dont laugh HASHTAG joke HASHTAG make look stupid HASHTAG NEGATIVEHASHTAG teamfollowback HASHTAG',negative
'URL today hospital HASHTAG finish HASHTAG day HASHTAG day HASHTAG hospital POSITIVEHASHTAG NEGATIVEHASHTAG 5cicle HASHTAG penultimo HASHTAG fo e HASHTAG POSITIVEHASHTAG HASHTAG cancer HASHTAG monster HASHTAG',negative
'violent imag head loot kill want turn back time end HASHTAG HASHTAG NEGATIVEHASHTAG — DOTS URL',negative
'mensrights HASHTAG shia labeouf rape 0( submit enriqueroz [link] [comment] URL feminism HASHTAG NEGATIVEHASHTAG',negative
'NEGATIVEHASHTAG will stop NEGATIVEHASHTAG',negative
'ive tri hard find NEGATIVEHASHTAG',negative
's* toss NEGATIVEHASHTAG ENLARGEDDWORD',negative
'big brother africa ellah HASHTAG move wound hea romance HASHTAG NEGATIVEHASHTAG sex HASHTAG URL',negative
'judg gavel fell NEGATIVEHASHTAG',negative
'know evil NEGATIVEHASHTAG',negative
'enemi fear think NEGATIVEHASHTAG realli fear HASHTAG ghandi HASHTAG quote HASHTAG',negative
'babi im fool NEGATIVEHASHTAG',negative
'what next moon gonna win sin citi NEGATIVEHASHTAG',negative
'wanna see doin thing NEGATIVEHASHTAG',negative
's* toss NEGATIVEHASHTAG ENLARGEDDWORD',negative
'hate candi crush DOTS NEGATIVEHASHTAG',negative
'anoth asshat HASHTAG ad ban list wed night NEGATIVEHASHTAG thick last hour NEGATIVEHASHTAG rsgonnahatehateh URL',negative
'now killer make pay follow hate URL put man awayfor smoke joint foolish URL man will come NEGATIVEHASHTAG',negative
'NEGATIVEHASHTAG problems HASHTAG DOTS true URL',negative
'make never want rais kid world full racism HASHTAG NEGATIVEHASHTAG general',negative
'hate say yes im look way yesman HASHTAG NEGATIVEHASHTAG selfish HASHTAG breakmyback HASHTAG DOTS URL',negative
'NEGATIVEHASHTAG stretch mark check diy HASHTAG itll help URL mommy HASHTAG moms HASHTAG follow HASHTAG baby HASHTAG',negative
'bitch show POSITIVEHASHTAG HASHTAG fake HASHTAG HASHTAG nigga HASHTAG hate',negative
'NEGATIVEHASHTAG caus lot problem worldbut HASHTAG hasnt solv one yet quote HASHTAG URL',negative
'alway kind nightmares time year NEGATIVEHASHTAG HASHTAG nightmares HASHTAG nightterrors HASHTAG',negative
'type relationship cats HASHTAG POSITIVEHASHTAG NEGATIVEHASHTAG cuddles HASHTAG URL',negative
'im realli sta ing hate iphon major glitch bug io 8 worst ever apple HASHTAG iosdev HASHTAG NEGATIVEHASHTAG ENLARGEDDWORD',negative
'hate storms current massiv storm need leav get bus half hour pleas stop storms HASHTAG NEGATIVEHASHTAG work HASHTAG',negative
'think piss akina bed boxer HASHTAG dog HASHTAG boxer HASHTAG NEGATIVEHASHTAG lol HASHTAG angry HASHTAG dog HASHTAG URL',negative
'yes teach black HASHTAG 2 NEGATIVEHASHTAG realli help peopl DOTS URL',negative
'just say humanity HASHTAG lie HASHTAG truth HASHTAG words HASHTAG awkward HASHTAG hypocrite HASHTAG fake HASHTAG NEGATIVEHASHTAG real HASHTAG reason HASHTAG people HASHTAG URL',negative
'peopl kill anim 4 reason evil HASHTAG u cant handl anim home 4 whatev reason give 2 someon can NEGATIVEHASHTAG',negative
't minus 12 hour ill road wors citi ever asu HASHTAG nopityfo hekitti HASHTAG fthemildcats HASHTAG NEGATIVEHASHTAG',negative
'alway URL HASHTAG qotd HASHTAG HASHTAG girls HASHTAG HASHTAG boys HASHTAG HASHTAG life HASHTAG HASHTAG relationships HASHTAG POSITIVEHASHTAG NEGATIVEHASHTAG POSITIVEHASHTAG HASHTAG URL',negative
'NEGATIVEHASHTAG ppl much especi friday HASHTAG morn y r stupid wake fcking ppl god damn itduh ENLARGEDDWORD',negative
'mayb hustle HASHTAG hard NEGATIVEHASHTAG workhard HASHTAG URL',negative
'want clean leaf DOTS NEGATIVEHASHTAG fall HASHTAG winter HASHTAG URL',negative
'hate snow much NEGATIVEHASHTAG snow HASHTAG thissucks HASHTAG native HASHTAG canada HASHTAG canadianvinersgroup HASHTAG snow HASHTAG ing winter HASHTAG winter HASHTAG suck URL',negative
'NEGATIVEHASHTAG caus lot problems HASHTAG world HASHTAG solv one yet mayaangelo HASHTAG',negative
