Tweet,Sentiment
UGH I know there are millions of other #ILoveJalenMcMillan fans and thats why he wont even notice me :( @jalenmcmillan,negative
i hate thse felling :( :( #selos_ako_dun_ah,negative
And that makes it even more disappointing :(,negative
after high fever :(,negative
Almost get hit by a car is funny...? :(:,negative
WHAT IS THIS SHIT?! :(((((((,negative
I've just finished Zelda a link between worlds :-(  What do I do now ? http://t.co/zk5PnEpnos,negative
Hiccup!!! Please stop :(,negative
"Aalis kana daw ng Adnu :( — Um, I don't know about that yet. http://t.co/Tch2lLFYj2",negative
I was doing soo gooood. Why did I suddenly fall off? :(,negative
I just want a Toffee Nut and a Sticky Cinnamon Bun :((,negative
"""@Luke5SOS: Duuuuudes, hey. I'm jetlagged and moody :("" :(",negative
I feel sick :(,negative
Not about one of your favourite hijabs going on walkies and disappearing from your life :( #priceofthegypsylife,negative
I just typed a 4 page essay and i really want to go back asleep but I can't :((,negative
Fuck me! All I have are nightmares! :(,negative
OMG no website is working :( :( :( :( :( :( I just want a tv god sakeeeeee,negative
They are taking turns peeing on the side of The Check Cashing Store. :(,negative
sel all over my tl :( no,negative
"My hands were full :(""@Adeorgomes: Laitan why na :( ""@l_laitan: And that's how I burnt the plaintain""""",negative
"I care you, But you dont care to me :(",negative
:-( <3 — feeling broken,negative
I'm so stressed my debit card won't arrive before the fanclub merch is sold out :(((,negative
"next door have a tree surgeon cutting down multiple trees in their garden... sooo noisy... go away, i'm trying to work :(",negative
"Awwn baby :( ""@lizziebethy6: Hian abeg no start wit love lovey here oo -_- @I_pissVodka: Yes love @Dmotivator_ @lizziebethy6""""",negative
fuck i found another one on my wall :(,negative
"Had to leave my bike at the central station for the weekend :( don't get stolen honey, I'll be back soon! http://t.co/CvMIjqESHu",negative
me want to go robmag tom. with friendsss :(((( never ako nakipag bonding with friendssss :(((,negative
i really feel inspired but my creative juices aren't coming out :-((,negative
"Home alone sigh ,what to do ,what to do  :( — feeling bored",negative
"Even in poverty, he does not think twice before offering a fruit to the journalist who talks to him. http://t.co/qcayyw50S1 :(",negative
Basically when I hate school.... :(( http://t.co/uXfG2bvI36,negative
black friday has broke the internet :(,negative
i lost my iphone button :(,negative
I forgot my ID :(,negative
Day off work lots of Imodium and not straying too far from smallest room !!! Great :-(,negative
It is so cold :(,negative
"You just don't know when you roll your eyes, when you... — teka lang talaga sorry :(((( swear :((( sino ba 'to s... http://t.co/aTpy2ajzta",negative
Feeling: WORRIED :( @immaZoeparasyy,negative
my fatass can't breathe :(,negative
Bored :(,negative
Horrendous headache - just need to just go and lay in a dark room!  :(,negative
Srsly Wtf? This makes me genuinely sad. :-( http://t.co/6KDsPKM6mv,negative
DMspree ka ver :(Its 28 OliverLancers Day @OliverLancePHIL,negative
i just need my music back :(,negative
I'm Black Friday shopping with my mom in Kohls and I LOST HER :( MAMMMMMMM,negative
"#SISTAR is at KPOP Convention 6 on 28th December!!!Oh my! Why is that I already left PH?! :(I'm dying to see you girls, @sistarsistar !!!",negative
my cat is so unaffectionate :((,negative
"Happiness Overload for this day. <3 How I wish I was with SISSY :( Hey Queens I miss you so much,… http://t.co/KU3ZhFzC8p",negative
"FM, Feeling Maganda :(",negative
#ILoveJalenMcMillan is most likley not even reading this right now :( @JalenMcMillan is beauty   1235,negative
"michael clifford, follow me, you ray of sunshine :-(",negative
#1yearEXOShowtime :((( I'm gonna cry now :'(((,negative
