Tweet,Sentiment
@carmerion tak to naozaj neviem. Asi ten hawaii:) akurat tam natacaju hawaii five-0 tak budem cely cas v strehu:D ale aj tak celkovo..,neutral
@GrimHudson so what's your opinion on battlefield 3,neutral
Its exam day today..,neutral
Beaccch laater #taaaannnin,neutral
taaaannnin,neutral
@Dupree_Martin .....tell me about it but any competition for Henne is better than none,neutral
Hope my crown fits! (@ Gateway Dental Group & Orthodontics) http://4sq.com/qM8rwj,neutral
Fuckk Laddy Gaga !!!!!!! (; iDont Like Herr , (x Just Her Musiccc Haaaahhhaa Jenny Was Heree &lt;3,neutral
Idc what you say about me, say whatever you want about me. But if you talk about my girls, my bf or my family...that's when I fuck you up,neutral
@_lydiadorable des trucs fous !!pourquoi nous on peut pas faire sa ??rooohh,neutral
Pennsylvania is way too big.,neutral
Charlie has gained 0.2 lbs in 6 months.  Finally! @ Pets Unlimited http://gowal.la/c/4FohZ,neutral
@cholubee Lmfao &lt;3,neutral
@Kissesmwah and he loves you too :),neutral
@vice125 bahahaha. I was pitcher kay,neutral
Apple juice nyuiggcah,neutral
Happy to see @katekelly85 finally in the Twitter world. Maybe we should start up #PernoIssues again and let you take a swing at it.,neutral
PernoIssues,neutral
#FF @iMartinnmoon cos i fangirled over him last night. yah. and his tweets are a+. c:,neutral
FF,neutral
I'm at Taco Mac (1211 Ashford Crossing, Perimeter Center W, Atlanta) http://4sq.com/owIHTl,neutral
Saliendo de junta 2 (@ Seguros Monterrey New York Life w/ 5 others) http://4sq.com/roWSSP,neutral
@jumblejim Vick's has worked for me every time. Yeah it's kind of gross but it gets the job done, just like Buckley's.,neutral
@FossFoodTrucks Any chance of pass by @VanderCook on your way to UC? This is the last day of Summer classes w/200 HUNGRY music educators.,neutral
@lindseychester How's the Cary children's museum coming?,neutral
I'm at Taco Mac w/ @stanjitsu http://4sq.com/qzyGlk,neutral
"i believe marriage isnt between a man and woman but love and love!",neutral
