@relation 'data'

@attribute Sentiment {positive,negative}
@attribute SentimentText string

@data
negative,' i need followers-If you want Satellite TV on your pc, check this site  See http://bit.ly/SuSvGu'
negative,' I need ktv!'
negative,' I need my car fixed'
negative,' I need someone to comfort me'
negative,' I need study a lot, tommorow 2 tests: in music and physics, oh, and also art homework! Hmm... I think, that I will make optical illusion!'
negative,' I need you more than you need me...and this hurts Paige.'
negative,' i neva knew gettin an internship was this unpredictable'
negative,' did have proper food from morning on... Liquid diet... Citrus in breakfast &amp; apple shake in lunch...'
negative,' Diego makes Tori sad that she FAILS ! Anti-depressant pills ftw. NOT!'
positive,' Disneyland was great! ... Got to go and pick up the kitties in a minute ... ?'
positive,' Dodgers are doing good today. ^3  6-0 Dodgers 2 outs'
negative,'- doesn`t have a phone.'
negative,' Doing my Chem 16 Pre-lab. ('
positive,' done with benjamin button, what a beautiful movie. Sleeping, dreaming of my wife. Hopefully go over her house early tomorrow&lt;3'
negative,' don feel like cooking...'
negative,' dont get to see my boys tomorroww.im sad'
negative,' dont let me down, mighty tkt booking portal...'
negative,'- don you hate it when you iPhone battery dies on you, and the nearest charge is 15 miles away '
negative,' DOU GUYZ EVEN C ME HERE!?!?!?!?'
negative,' down, nite.'
positive,' dreams do come true.'
negative,' driving to school without justin texting me.. What a lonely morning'
negative,' dumb kyle i @him but doesnt have me on his updates'
positive,' eatin cereal'
positive,' eating food! hahaha'
positive,' eeep i love her. so glad she around.... hannahh! you said you text you never didd!'
negative,' ehhh startin to think this is not for me'
negative,' Either my Video Card died or my DVI cord went down the drain...'
negative,' English tomorrow. *breaks down*'
negative,' english, bummer...'
positive,' enjoying my last days of summer &gt;sigh&lt;'
negative,' equals sad. In case you were wondering.'
positive,'-- err y am i still awake ? my birthday is june 24th woo hoo  , than BET awards june 28, than vegas july 2-5!'
negative,' eurgh  silly sick. silly cold. silly tired. needs her stuff back!'
negative,' even the hoff can bandaid the scar left by diversity winning and not the father son dancey team.'
negative,' Every boy...Ive never met anyone as cold as them  Well some boys'
negative,' every number, bbm pin, and text message is gone from my phone...its empty. I about to cry...smh http://myloc.me/5dMB'
negative,' Everybody Hates Vinde.'
negative,' everyone from home is going to the beach today &amp; I stuck in philly'
negative,' everyone hates canada! No @Mileycyrus and no @mitchelmusso who wants to road trip to fargo to see @mitchelmusso cause i sure am!'
negative,' everyones going on holiday and im left on my loansome for like the 5 year in a row :( tis crap to be soo skint stuck in shitty scotland'
negative,' exams how i hate exams in the summer ! its not fun not at all !! BEACH i miss you !&lt;3'
positive,'- excited for toms shopping !'
positive,' faster faster show on 16th in Brunswick'
negative,' fed up and upset. i need some good nosh down me and a cuddle from a lovely boy with messy hair please. i need a night out too..'
positive,' Feddy won! Woop woop! Must compose myself now in preparation pour le finale dpprentice later. WAY too much excitement for one day!'
negative,' feeling a little under the weather today.'
positive,' Feels like a giggly school girl!'
negative,' Fifa ticketing just times out. Seems like my 2010 ticket chances are getting less and less...'
negative,' film not on till 7:45, will have to hold out for 2 hours, il fix some tea and then go to pops for an hour'
negative,' damn it.'
negative,'- damn watchin Spidey Man 3  ::tears:: it touched my soul lol'
negative,' damn wendy commerical got that damn song in my head.'
positive,' damn you mobbing deep'
negative,' Damn, I missed Kindergarden Cop on showtime, Il have to catch the replay later. &lt;3 that movie'
negative,' damn, Kayley doesn get to meet Robin.'
negative,' Damn. This kinda sucks more than i thought it would. Probably not gonna sleep.'
negative,' damn...I miss you...'
positive,' dance flick was hilariouss!!!'
negative,' dancin todayyy , dont wanna , and its lush weather in flippin wales, and im spending it inside :('
negative,'- dark angel is so cool. its unfair. i gonna go cut myself now'
negative,' David must be hospitalized for five days end of July (palatine tonsils).'
positive,' dear driay LOL emo kid god this so brings back merions ha year 6'
negative,' dear GOD...'
negative,' Delivery from Aussie Farmers didn work. The pity of living in a big apartment complex. Wished I had a house to use their services.'
positive,' Design with humor. Escape key on the run!-- http://ow.ly/3dfT'
positive,' despite my last tweet, I having a fantasticly sunny day (='
negative,' destiney is out. though megan is still my favourite'
negative,' Detroit won the first game with a score of 3-1. Red Wings lead series 1-0. !'
negative,' devistated, Youl forever be in my heart Joshua. Shine on soldier. I can believe this.'
negative,' did not win my w and y tix...i am determined... excited for tonight yardhouse with my favesss... ONE WEEK!!!!!!'
negative,' dident die from the tornado ohh well lolâ™¥'
negative,' didn realize this was happing. sighed and it went all over. so much angst that i sigh blood. http://tinyurl.com/kt2fm4'
negative,' dis aint gud a heatstroke!'
negative,' disappointed the Cavs...'
positive,' discussing the importance of ed westwick &amp; chace crawford with mia.'
positive,' disneyland fireworks!'
positive,'- do you want love or do you want fame, are you in the game? -Lady GaGa  such addictive beats! Getting ready to avoid wasting the day '
negative,' does any1 know wut time its sposed to rain?'
negative,' Does anyone know how to treat a bug bite on a dog?'
negative,' does neone know what is the exact procedure of getting a DS 2019 issued ..and whether it costs for a summer intern ?'
negative,' doesn have contacts on &amp; can see =('
negative,' Doesn know what to eat! What would you eat on very sensitive stomach after being sick?'
positive,' don ask... and if u do you will regret it alot'
negative,' don feel good'
negative,' dont go i got luv for my 100th follower lol @rashagirl28'
negative,' Don hope. Youl be disappointed'
negative,' dont know how im goin to go on. i cannot sleep. i keep thinking of her...'
negative,' don know why I bother'
negative,' don make fun of a concerned friend!'
negative,' don wanna think about cheating  my bf is going to Vegas this weekend. I decided not to go!'
negative,'-- don want to do all the housework tonight!'
positive,' Dream house!'
negative,' Dropping my mom off at the airport, then distracting myself from being sad with museum hopping in LA!'
negative,' Dt exam tomo .... Doing revsion now  !'
negative,' i never get direct messages.. must not be exciting, hm? xD'
negative,' i no feels good today'
positive,' I now remember why Ms. Janet Jackson is in my top 3.'
negative,' I only wanted him to wish me happy birthday.. So much for remembering. Its called facebook these days.'
positive,' i oove you. bahaa'
negative,'- I posted too early. San Jose just scored'
positive,' I really hope Peter Facinelli wins his bet......'
negative,' I really wanna go home. I HATE working late!'
negative,' i really wish i could have kept that kitten.... someone just picked it up. It will have a good home with no mean cat hissing at it'
negative,' i sat on my chocolate truffles.... so much for saving them for to night *tear'
negative,' i see how it is'
negative,' i should have picked that dog up! Oh no  someone go on the freeway off near bob hope and rescue the cute black dog'
negative,' I Shouldn Have Came! Its Not The Same Without My Best Friend @TootsiiePop ...  I 4Real Yll, I Miss My Sista.! I Bouta Cry '
negative,' I shouldn miss you. &gt;_&lt;'
negative,' I slept for maybe an hour or two...even though i tried so hard to fall asleep cause i need my rest.'
negative,' i so don like going to the dentist'
negative,' I Still Cant Find My Phone , And I Cant Call It , Cause Its Dead'
negative,' i swear to cheese &amp; crackers @songzyuuup is in Detroit like every 2 months &amp; i NEVER get to see him!  i swear this blows monkeyballs!'
negative,' i think i gain another 4kg'
negative,' i think i need a drink'
negative,' i think im going to bed now... sooo tired! nitey nite!'
positive,' i think its a good day, bang bang, dirty rich'
positive,' I think its work time'
negative,' I think my friend has swine flu... FOR REAL  he in the hospital.'
negative,' i think my trachea is infected again.'
negative,' i thnk ima cry i feel rlly bad'
negative,' i thought i made some progress... Nope'
negative,' i totally know how you feel'
positive,' i wanna be like you (Demi)'
negative,' i wanna crawl in a ball..'
negative,' i wanna vote for Miley Cyrus and I cant!! I wanna live in the united states now!!'
negative,' i wanna watch the new ep but of course it ppv..put it on the pay members page too..please matt!!!'
negative,' I want all my friends back. (via @Mikejones37) as do I.  Happy for you mike.'
negative,' I want an unltimate maing room... free astros. XD'
negative,' i want baja california starbursts for some odd reason. :/'
negative,' i want iphone OS 3.0...how much longer must i wait? :] me eating french toast. Yum yum yum'
negative,' I want my Casanova &amp; Clopin.'
negative,' i want summer love! PLEASE LORDDD lol. im so patheticcc.'
negative,' I want the ham sandwich now, but diannaaaa is making me play pokemon.'
negative,' i want to b happy n content. tell me hw. - http://tweet.sg'
negative,' I want to but i can'
negative,' i want to enter in my old my space , but i forget the password'
negative,' i want to get away!'
negative,' i want to get out of sm riiight now. it is draining my soul'
negative,' i want to go home get in bed. eat soup. watch friends season 5. all day. i feel like crap'
positive,' I want to go to the Teen Choice Awards!'
negative,' I want to move so fucking bad. I hate it here. I wish I never bought concert tickets because now I can move as soon as I want.'
negative,' dude bringing up memories now'
negative,' Eden missed a turn and then drifted. It was so damn scary. (('
negative,' ehhh bad day'
positive,' elaina and sarah are over, watching movies and what not'
negative,' electricity is out.'
negative,' Eliminated Me (KQs) SB x (AKo) CO-1 with a king in the flop.'
negative,' em chï¿½n cï¿½i trï¿½nh ?? English c?a th?ng AR47 quï¿½, v?y mï¿½ nï¿½ c? ng?i s?a em hoï¿½i huhu'
negative,' Empty Nest...literally @ my fiancee.  I hope theye still around. They were SO CUTE &amp; I miss them!'
negative,' England what the hell :( :( #cricket # T20'
negative,' enough said.'
negative,'- eShoot canceled... It storming and raining in Tampa!'
negative,' europe cruise mite be cancelled; there was a fire that happened on our ship..... My summer is officialy ruined.'
negative,' even Poirot is not making my head feel better.'
negative,' even worse than I thought'
negative,' Ever since my brother got married, I feel so alone at home. Even though we seldom communicate but he presence at home is enough.'
negative,' everybody has jobs. I am going to be the only one without money.'
negative,' everybody that has my number and my BBM my phone is not working so will be getting a new phone on thursday.. THIS SUCKS, i love you yall'
negative,' everyone deserves to be forgiven.'
positive,' everyone have an AWESOME wknd! yay for sunshine!'
negative,' everyones just set to &quot;Away&quot; on msn.. nobody to talk to :\\'
positive,' Everything went as planned!!! Now I have many many many new souvenirs from #Herschel and #Planck'
positive,' everythings so fucking chilled atm  loving life right this minute. ooo dj am and trvs ayeeeeeeee i think sooo  FIX YOUR FACE 14 FTW.'
negative,' exams suck'
negative,' Exams!!!'
positive,' excellent morning! trying to take in the fact that theres only 1 more week left of school &quot;/'
positive,' Excited about purchasing my new MacBook Pro - should be here in a few days'
positive,' Excited. Dont think i will sleep tonight!'
negative,' failed my psychology class last semester. I don know if i want to go back in the fall now. Wow that depressing and whats even more'
positive,' fallen leaves, fallen leaves on the ground '
negative,' fantastic..it probably cause of the messaging last night/morning..'
negative,' Farm Town isn connecting for me. And I have crops that need to be harvested. #fb'
negative,' Farrah Fawcett has passed away'
negative,' Farrah Fawcett... one less charlie angel but one more angel for god'
positive,' FBI: Terrorist Attack On Golden Gate Bridge May Have Been Green-Screened http://bit.ly/hdexD (via @TheOnion)'
negative,' fcked thing up for good no'
negative,' feel like crying. fucking bitch stealing my family, i want them back.'
negative,' Feel like shit. Choked on something last night &amp; now throat &amp; chest ache &amp; headache. Chicken noodle soup, sandwich, chips, then bed.'
negative,' Feel sorry for him, he kidless on father day.'
negative,' feeling sad that rapidshare.com acct has bn expired... #fb'
negative,' feeling very down this friday morning... i hate when i have time to think... i just get myself down /sigh'
positive,'- Figuredd out how to edit profilee  .. &amp; Levi youu dont need to do a 200 Calorie diet :S'
positive,' Final Destination 4 has a release date!! August 1st!!!!'
positive,' finally a good mood'
positive,' finally got my FMC tickets in the mail!!!!!!!!! yeeeeeeeeeeee'
positive,' finally linked my fone 2 twitter'
positive,' Finally! I finished a new item in my striped colorful knitted line! Want to see it? =&gt;&gt; http://bit.ly/UZtpT'
negative,' finally!! lol but  piccckkk mee uppp!!!'
negative,' Find it yet?'
negative,' fine. I should be anyway. see you at the 4th quarter.'
positive,' fingers crossed another enjoyable night cause of someoneeeee'
positive,'- finishing up my midterm project for web publishing class &amp; waiting to go over zachs house.'
negative,' Finn fell of the balcony, seems ok, but will know better in a few hours'
negative,'-- First uni exam tomorrow'
negative,' Fix my puter... Its taking a dump.'
positive,' flordia- and @stellarkartband- where do u send in the pictures of the shrits? saw ur update on facebook'
negative,' Flower died.'
positive,' follow me'
positive,' Follow me on Twitter!  http://bit.ly/P1I1h'
negative,' food poisoning ?'
negative,' for once cant i be number one'
negative,' FORÃ‡A MEADD ! http://meadd.com/adrianoshevchenko/15425876'
negative,' forgot about my spanish essay. hopefully, i finish before 3 AM.'
positive,' Found a place to buy Secret Agent Sam. Now where to get it for free...'
negative,' Free Movie was sold out...wtf?'
positive,'- FRIDAY! ie caught a cold. How rubbish is that? At least ie got the whole weekend to spend in bed.'
positive,' Friday!!! Plus, woke up naturally, no nasty alarm. The world is so much nicer when the sun wakes you up instead of some radio dj '
negative,' Friend emailed me a list of signs youe middle aged woman and I relate to 90'
negative,' from NCAVP report: 2008, with 29 total murders, has the highest number of deaths since 1999, and an increase of 28\% from 2007'
negative,' from seeing all my koreans buisnesses failing.'
negative,' fuck it'
negative,' fuck overtime!'
negative,' fuck that, Dev is clearly superior.'
negative,' fuckin ugh...'
negative,' fxcking tired and sooo cold'
negative,' gdocs letting me down. Not saving and not sharing. One more go.'
negative,' get better friend. It sucks not to be able to taste. So sorry'
positive,' Getting close to 2K followers!  I feel a chocolate party coming on! You are all invited'
negative,'- Getting r done.. 16 hrs of work behind me. Not sure how many left in front'
positive,' Getting ideas for my room revamp!'
positive,' getting ready for school. after i print out this song, fancy, i know.'
negative,' getting ready for work ....  def should have stayed in last night'
positive,'- getting ready to go on a date'
negative,' gettn meds for my baby. he got a stuffy nose and now a cough. his 1st time getting sick'
negative,'- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!'
negative,' girls are so mean now a days damn'
negative,' Git version of Gnome Shell broke Compiz. Still get nice clutter effects though.'
positive,' glad I could help...or not depending on how much $ you spend ;)'
positive,' glade you liked it il be over in a few minutes'
negative,' i want to shop!! - http://tweet.sg'
negative,' I want to take pieces of the past and bring them to the present.Things Would Change.A life without you,That wouldn be the same.. ?'
negative,' I wanted Taj to win'
negative,' I wanted the cavs to win it all! Defense wins the game Cavs.... I don like loosing and I know this is alot of pressure on Bron.'
negative,' i wasted more than a roll of film.'
negative,' i will txt you when i get back from oc. Maybe we can do something. Ill make you feel better. . Na mean. Lol jk'
negative,' i wish he knew how much i miss him...'
negative,' I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha'
negative,' I wish I lived far far away, in a fairytale land.... With lots of happiness and love... Ahhhh to daydream'
negative,' i wish i was famous.'
negative,' I wish I were there.'
negative,' I WISH IT WAS SUMMER TIME.....'
negative,' I wish Mark was here'
negative,' i wish paramore won for best song... boo'
negative,' I wish this was easier!!'
positive,' i woke up! Lol ~'
negative,'-- I won feel guilty and like I should be revising stuff after today, haha '
negative,' I work the next 4 days, 8 hours each day. No fun.'
negative,' i... have to start... work... tomorrow......................'
positive,' icant stop smiling! Especially thinking of the time we ran to the train...'
negative,' idk why i  so sad  i need to somone right now'
negative,'- Ii cant beleivee the ppl that imm losinng'
negative,' il be leaving home tomorrow.'
negative,' ill deff be going up early on Tuesday will you? What time at?'
negative,' Il get home like 5pm today it will be a long day no hangover just my body is drain out n my legs hurt ;-( I dehrydrated'
positive,' Il get my son Tommi to visit at me tomorrow from Oulu. So nice )'
negative,' I a sad panda today. I want a slurpee damnit!'
negative,' I about to turn down a great job offer in LA. Raise, paid for accomodations, rental car, weekly expenses paid...I have my reasons.'
positive,' im almost done with this portrait. woo. hmm.. maybe i should draw andrew bisante with my new pastels !!'
positive,' I back online!'
positive,' im back, but now going offline seeya guys  have fun on twitterrr~  night lvoe ya.'
negative,' im being attacked by a moth!!  its scary stuff  haha!'
negative,' I being confused..'
negative,' i board :b and happy for tomorrow'
negative,' I Bored... Bored....Bored Again And Developing A Headache And I Want A Piece Of Carrot Cake mmm'
negative,' I boreddddd...rain rain go away.'
negative,' im buzzed and followed friends to punk ass bar, possibility of me getnin laid minimal '
negative,' Im crushed, How could i have been so stupid?... ~!$@M@NTH@ !~'
negative,' I depressed about the cavs loss now I checking out the Da Vinci Code for the first time!'
negative,' Im dying of thirst and I wish I was in a large body of water somewhere in Hawaii!! Anything with clear water actually!!!'
positive,' I exactly where I want to be. ))'
negative,' I exhausted. Having pasta soon, thank god.'
positive,' im followin demi she rocks'
negative,' I freaking out    ~ I got something to admit ~'
negative,' im fukin bored im goin on gs 4 a bit'
positive,' finally awake!!!!'
positive,'- finally catching the new episode of college hill.'
positive,' finally finished. now i can sleep peacefully!'
positive,' Finally Friday!'
positive,'- Finally got twitter.... trynna see what the hype is about'
negative,' fine i just wanted to share with u the greatness of baby soup. and how it contributes to a cannibal society!'
negative,' fine. Il watch it. I am so f**king rad.'
negative,'- finished watching FRIENDS  so sad, WHY WHYYYYYY DID IT HAD TO ENNNDDDD &gt;=[[['
positive,' finishing up this stupid project then off for fun! sundress, booze and sunshine... I love this country!'
negative,' Firefox will not start or uninstall. i hate it sometimes.'
negative,' First time in a long time Wikipedia has failed me'
positive,' fishing today? GO AWAY RAIN!!!'
negative,'- Five in the morn and am awake wiv a migraine'
negative,' Flash lost my frisby on a roof. Sad days LOL'
negative,' FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;('
negative,' folk taking about me at morning break 2day'
positive,' folllow me'
positive,' FOOD!'
negative,' For a minute there I was all happy thinking it was THIS Tuesday we finished.'
negative,' For the first time ever, my iPhone crashed iTunes 3 times in a row. Also crashed &quot;Apple Moble Device Helper.&quot; WTF? Apple? Twitterrific?'
positive,'- for trish: sa right side ng reply ko, may star and arrow. click the arrow para maka-reply ka. hehehe. '
negative,' Forgot about them science exams tbh (N)'
positive,' Found her JRM icons!'
positive,' found my BBerry in the office, thanks God, one entire weekend without was enough!!!'
negative,' foxtell is so depressing'
negative,' freaking out about the exam.'
positive,'-- french test! oh gawdd.. lol  fashion show tonite!  come watch &lt;3'
negative,' frenchies cheering sod. hurts my SOUL.'
positive,'- fresh out the shower. I wanna go to the movies tonight'
negative,' fuck it all'
negative,' fuck you 2009...'
negative,' fun time. so tired. train to boston soon'
positive,'- FUNNY - Cold nose, COLD NOSE!! - REALLLYYYY COLD NOSE - watch till end if u wana laugh  http://bit.ly/pvgtM'
negative,' funny how quick yr mood can change.'
negative,' gaaaahhhhh! If I started all this....'
negative,' gye FL crew! until dragon*con!'
negative,'GERD is acting up.  fml.'
negative,' Gettin a divorce   *Str@ng3r !n my h0us3*'
positive,'- getting my Battlestar fix!'
negative,' getting rid of the z28 camaro. Its a said day. If anyone wants it, come get it. Its also on ebay'
positive,'Gimme a hug  thats soooo cute :p'
negative,' Girlfriend is in surgery, nothing really serious, but I hate she has to have total narcosis.'
negative,' gloomy outside... pajamas all day? sounds like a plan to me.'
negative,' Gmail isn connecting on my iphone. Is gmail down?'
positive,' gnight to all. oh, if you have the time, look up Marcus Schossow, he amazing. Girls Suckcces (Dub Mix) is my personal fave '
positive,'- go &amp; try the yummo &amp; super hot lecing kangkung+ ayam bakar taliwang.. **sexy food from exotic country,Indonesia '
positive,' goin to dadsssssss'
negative,' going home. We all knew I would have to go home some time'
negative,' i getting sick. That not good with Salkehatchie on saturday.'
positive,' im giving it all to ya,'
negative,' I going back to sleep...'
negative,' im going to bed. hopefully, il dream of Mr. @BrentCorrigan00 tonight...'
negative,' im going to go cry myself to sleep.'
negative,' im going to miss my Prissy...  But I happy she with Elvis again'
positive,' I gonna go be grumpy and read comics. Later, twitter!'
negative,' im gonna miss all of the peeps in the play smgt!!!'
negative,' im gonna miss my psychology/sociology teacher'
negative,' I gonna pull an all-nighter. Hopefully I won fall asleep ause I pretty tired. I want a Mocha BK Joe!'
negative,' I gonna twit someone on a random time and day so theyl have a chance to reply.'
positive,' I happy and content'
positive,' i happy! went out for dinner at a posh place and food was wonderful. I love it when food is Wonderful!!!'
positive,' i having fun with this.'
negative,'- im hungry...but there no food at mah house.'
positive,' im in neet magazine again in the global fashion section. http://www.neetmagazine.com/'
positive,' im in science class with mt beautiful lauren listenin to my ipod... Mariah carey of course'
negative,' i just having one of those nights where you feel hopeless.'
negative,' I not sorry at all I wont be sorry at all....'
negative,' i not tweetin much today, it probably coz i have nothing to say (haha it rhymes) but in the end il find a way (yea tht nice ha)'
negative,' I not used to instantly not getting it. Twitter is hard'
negative,' i not yet ready 4 school time..lol'
negative,' im now free tonight. Dinner got cancald  downer'
positive,' I off to take a nap, haven slept much in a few days and have been up since 5:30'
negative,' im officially sick'
positive,' I real happy, things are good'
negative,' I really annoyed about this telstra bill, but I can ring them cause well I only have my mobile -_-'
negative,' im really gonna miss talking to all my tweeps. But, im gonna keep a pen and paper blog, and post it after tour and i should have pics too'
negative,' im sad about that'
negative,' im sad. i turned into a whole different person-bottom line dont ever get me pissed.'
negative,' im sad... My relationship isn doing too well but we gonna make it.'
negative,' I sick, 10 PM and already in bed... Can remember when that last happened. N ofcourse, nobody to make me tea, my man being faaaar away'
negative,' I so bad at assassinating people.'
negative,' I so depressed @kimhoward_ were sadd'
negative,' im so going to fail chem tomorrow.  but its okay, i got 2.5 years of science and i just need .5 next year'
negative,' I so going to fail law'
negative,' I so ill after getting wet in the rain for three days..... xD but I don  regret..it was awesome x3'
negative,' im so sadd. and confusedd'
negative,' im so sorry @iheartrachael ill tell him to stay for you?'
negative,' I so sorry!  Neda, and her dad.. Prayers for them all..'
positive,' gnite/gmornin @TheRealNobody'
negative,' god bless us everyone'
positive,' god i love this tune    ? http://blip.fm/~60u8d'
negative,' goin to start stuyding now .. gutter HELP ME'
negative,' Going back to houston'
positive,' going for stroll in sunshine.... sending out love vibrations all good things welcome xo'
negative,' going home. Miss him already'
negative,' going on holiday 2 weeks today! NOOOOO!'
positive,'- going somewhat out of town? (x visitng uncle boyet &amp; famm!'
positive,' going to bed goodnight amazing twitters!!'
negative,' going to bed to end this day'
negative,'- Going to get ready for my dentist appointment at 130 PM'
positive,' going to sleep. good day later today. goodnight.'
positive,' Going to take my bike to Claremont Village via the train and get some tofu scramble and explore!'
positive,' going upstairs.chilling.bed.work D: txttt me! oh btw im excited to see bia tommrow!!!!'
positive,' gonna make the best of next week.'
negative,' gonna try and drink some water and eat for the first time in 7h ! Hope it stays down &lt;3 last time I ate @ kebabking.'
positive,' gonna volunteer at madres school again -still trying to calculate how many friends i really have.'
positive,'- Good afternoon, welcome to Mama Mia Pizza, what would you like on your pizza? - YouTube scares me.... in a good way '
positive,' good dance... make little love... get down tonight...!!!! &lt;3'
positive,' Good morning'
positive,' good morning every body!!!!'
positive,' good morning love u all ;-) I feel ok I only had like 4 coronas  it was a fun night  laker game later today'
positive,' Good morning sunshine!!!'
positive,' Good Night Twitter! I tired! Partying ALL WEEKEND! Peace â™¥ and ALWAYS BE HAPPY!'
positive,' Good times !! ... Dad is being far too jolly its very odd. Being looked after today !!'
negative,' GOODBYE ANALOUGE'
positive,'- Goodbye Mazda 6. Always a good, nice, car (&amp; a fantastic color)... But no room for you on Wall Street.    http://twitpic.com/6a1ny'
negative,' goodbye steph. at home watching Mall Cop with my bby brother &lt;3'
negative,' Goodbye to my free time!!'
positive,' Goodmorning again! haha. ) uggh. i getting kinda hungry :|'
positive,' goodnight all. Doodadoo lives good'
positive,'- GOODNIGHT everyone  I pray you all have a blessing morning. I gonna do 1 more load of laundry, straighten the kitchen, then lay down.'
positive,' goodnight luvs'
negative,' goodnight twitter. Shits been really weird with me lately. I need a doctor!!'
negative,' goodnight yall , i upset . . . i might bbl tu tweet some trifling , subliminal shit , that always makes me feel better . therapy'
positive,'- Goodnight, I going to sleep with my monkey '
positive,' Goood Morning Twittz. I in an Extremely good mood. Heading to the GYM with my doll Nessa.'
negative,' got in a huge car accident today. not feeling well.'
negative,' got my hands burned sunday at a fire. But doing much better. I guess too many beers equal me sitting too close to a firepit lol whoops.'
negative,' got sick at work...kinnda feel faint'
negative,' gotta be in brandon at 9:15 tomorrow for a doctors appointment'
positive,' Gov Motors just peed a little: http://bit.ly/aLDXF via @TTAC &amp; http://bit.ly/pJg8o'
positive,'going to bed. shopping tomorrow. nsn / ftsk mondaaay.'
negative,' Going to CarthageLand.'
positive,' going to find motrin then sleeeep.'
positive,' Going to london in 2 days hopefully'
positive,' going to sleep !!!! this monster just crashed !!'
positive,'- Going to walk my daily mile later today. Getting ready 4 a late breakfast w/ parents then going 2 Frisco 4 the next FC Dallas match'
positive,' Golden Spoon and dance/music love.'
positive,'-- gonna get some beauty rest &amp; dream about mr. handsome  15 more days!'
negative,' gonna miss at least the first half of the PT:Honolulu top8 webcast'
negative,' gonnna be to worst few hours ever. Loveee yous and miss youss'
positive,' good i hope not my love because im in love with u and dont wanna lose u'
positive,' Good morning guys making my morning cup of coffee xoxox, A rainy day off... whatever!'
positive,' Good morning peeps, ahhh it gonna be a wonderful Saturday '
positive,' good morning twitterers ily'
negative,' good night twittaz'
positive,' good weekend. now ISU woooo'
negative,' goodbyeeee Arizona. See you in 3 weeks.'
positive,' goodmorning tweeties..'
negative,' goodnight everbody.. Hope I can fall asleep.. FML'
negative,' goodnight...'
negative,' got a headache'
negative,' got earache and wants to go home'
