@relation 'data'

@attribute Sentiment {negative,positive}
@attribute SentimentText string

@data
negative,'  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall'
negative,'  I finding the intercept slope..and banging my head against the wall..Math brain heads come save me'
positive,'  I really going to bed now...'
negative,'  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope itl work'
positive,'  Jin has a twitter.'
negative,'  jonas day is almost over...'
negative,'  Jus Got Hom Fr. TDa Funeral... I So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.'
positive,'  just gonna smile...cuz it is what it is..and im not sure what more they could want..'
positive,'  Just got home, and I got to see my friend Zahra whom I haven seen since We graduated!!!  That makes me so happy.'
negative,' - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6'
negative,'  mi momacita won let me go to my bf bball game!!! grrr!!!'
negative,'  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....'
negative,'  My new car was stolen....by my mother who wanted to go pose at church.'
negative,'  no hang out with the girls 2day. 2moro, hope so......'
negative,'  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!'
negative,'  no pavel tonight &lt;Tigersfan &gt;'
negative,'  not a cool night.'
positive,'  oh thank you!'
positive,'  pleased'
negative,'  probably guna get off soon since no one is talkin no more'
negative,'  really wanted Safina to pull out a win &amp; to lose like that...'
negative,'  RIP, David Eddings.'
positive,'  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that half a year away.'
negative,' - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8'
negative,'  so whats the status on next weekend'
negative,'  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade'
negative,'  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.'
positive,'  Thanks, I need all the help i can get.'
positive,' - that explains alot.'
positive,'  There going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.'
negative,'  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad.'
positive,'  trae is so sweet! He just bought me a new baithing suit!! Wove him'
positive,'  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh'
negative,'  u guys knw whyy'
negative,'  very much so'
negative,'  waahhh now I getting sad....miss hub :-(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;'
negative,'--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --'
negative,'  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!'
negative,'  where is my picture i feel naked'
negative,'  Why aren there any trains going to manchester on a sunday?!!  Now I can go to the @jonasbrothers concert.'
negative,' - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn'
negative,'  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp'
positive,'  wide awake   NOT!!!'
positive,'  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...'
negative,' - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly'
negative,'  youl always be my one and only...  [12*23*2007]'
negative,' #3turnoffwords this shit sucks'
negative,' #asylm J2 panel is over. Guess it back to normal life.'
positive,' #poemsunder140 ....started by @shannonelyse1'
negative,' #squarespace brighten my bad day! i never win anything...'
negative,' #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!'
negative,' #twenty20'
positive,' &lt;--- That is all, and believe me.. it enough!'
positive,' &lt;3 goooood timessss'
negative,' &lt;3 GrAdUaTE 09&lt;3'
negative,' &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )'
negative,' &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far'
negative,' &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343'
positive,' &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....'
negative,' &quot;I want you so bad it driving me  mad&quot;'
positive,' &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...'
positive,' &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke'
negative,' &quot;Try to turn on my tv to get you out of my head. Ie got this feeling inside that I just won admit...&quot; (that is literally how I feel)'
negative,' &quot;well, the truth is I miss you so&quot;- Coldplay'
negative,' (tears) :-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86'
negative,' (unsure) (annoyed) http://plurk.com/p/1230lz'
negative,' (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc'
negative,' *BeautifulyLost'
negative,'- *cries* I going to miss Harry Potter when it comes out.  I leaving to Vietnam on July 11th.  I going to cry!!'
positive,'-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headinout to reality. Cheers Twitter world!'
positive,'-- . *sigh* You cant love someone that doesn love you back that like stalker status . GET a divorce &amp;&amp; move on . Trinity.'
negative,' . . . . going back to bed, because I lookinaround and don see a reason to be awake atm. Be up in a little.'
positive,'-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . '
positive,' - Triiiiiii .  ily . even if Chaise doesnt . D *dies of laughter'
negative,' .. i wantt hiim soo badd !!'
negative,' .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend'
negative,' ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...'
negative,' ... Rained out truck race'
negative,' ... Why am I feeling worse??? F!!!'
negative,' .... Feeling pain and happiness at the same time. How confusing!'
positive,' ..... hot choco is the best!'
negative,' ....in a shirt and panties. celulite'
negative,' ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...'
negative,' ..y everything is so hard? :/'
negative,' .bueno good bye. good night'
positive,' : Beach day with Scoobs. =( : Still no phone.'
negative,' : Let have fun,. When I give ya what I give ya.'
negative,' :[ I don want to move!!!'
positive,' :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS'
positive,' @ canaveral national  seashore'
positive,' @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out'
positive,' @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone.'
negative,' @ the train crash in DC .....'
positive,' @ Thestreetforce  '
positive,' @3sixty5days makes me smile.'
positive,' @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW'
positive,' @adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6r0'
positive,' @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.'
negative,' @alvinkschneider what happened to angels and demons and lions and tigers and bears!?'
negative,' @AmericanWomannn Well that sure minimizes the impact...LOL'
positive,' @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy'
positive,' @CharlottegC I just saw ur mum'
positive,' @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.'
positive,'- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024'
positive,' @copicmarker&quot; facebook.com/copic.marker if youe cool. Or if youe not cool. Maybe Il send some cool .. http://tr.im/oyT7'
positive,' @crewislife  you want to start the morning later in New York we can do that  (Californians have it even better)'
positive,' @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh'
positive,' @dandelionas is making fettucini and garlic bread!'
positive,' @danregal  tell @pfont i said Happy BDay!!'
negative,'- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML '
positive,' @DirtyRose17  told you, you would sweep haha :-p'
negative,' @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2'
negative,'- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I Elliott from @angryfeet - blame @howlieT for the Twitter intrusion'
negative,' @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?'
negative,'- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics'
negative,' @georgediaz #Magic ..thinking less than 50 '
negative,' @Glamicole ..now who wud make this beautiful plc cry?'
negative,' @HaterMagazine: @damienrandle it is now the outer fat kid.'
positive,'- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay...'
positive,' @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn'
negative,' @hellopnsdear se MORREA a mi Joseph, no no se vale.'
positive,' @hidingesther @linininiooh are my future rooooooooomies! NYC holleR'
positive,' @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO'
positive,' @iamyas awesome'
positive,' @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn'
positive,'- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I jealous! I want flowers without having to be in the hospital to get them!'
positive,'- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it as strong as the weakest link â€¦'
negative,' @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!'
negative,'- @JuicyJones I know.. SOLD OUT though.'
positive,'- @kaitymarine - watch E3 @MCMudkips - Will do'
positive,'- @katherineholden Thanks K! Here hoping! Pretty nervous though...'
negative,' @katiedontcry should get on aim and talk to me. i miss her.'
positive,' @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn'
positive,' @khead Il tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y'
negative,' @kvetchingeditor kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL'
negative,' @Leloz isn home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!'
positive,' @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?'
negative,'- @littlecharva - I immune to dentistsdrills etc now, it just doesn bother me at all. Having gum lift surgery next week tho *eek* '
negative,' @lolife4life where r u tonite im still awake!'
negative,' @lorinimus hates Bebot App'
positive,' @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G'
positive,' @MelodyChase'
positive,' @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC'
positive,' @michaelsarver so do you give him every inch of your love every night?'
positive,' @mimbles @WParenthetical'
positive,'@minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter.'
positive,' @MsNovember It a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET'
positive,'- @nibaq Thanks for letting me know. I going to check out Eureka later with this knowledge'
negative,' @Oneshine What are u referring to?'
negative,' @plmusic22'
positive,'- @PoisonGirl10 What up? @sevgli Hey you!  @lowridergrl I doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol'
positive,' @RAPPUBLICIST HAPPY MOTHERS DAY!'
positive,'- @raybooysen I knew Sharepoint was written by interns, I just knew it !! '
negative,'                                     I miss her so much already...'
negative,'               just practising.....how I feel'
negative,'            Miss my love Jamie'
negative,'          FUCK YOU!'
negative,'        my head feels like a bowling ball'
negative,'        my heart hurts badly...'
negative,'       FS keeps crashing when I try to load Bungie plane.'
negative,'      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!'
negative,'     ....    My mood is currently BLAH . Sitting in a parking lot'
positive,'     I am happy'
negative,'    ...that is all.'
negative,'    everyone went home. and not everyone was even here! ~CMF &lt;3'
negative,'    fed up....'
negative,'    fuck, fuck, fuuuuck!'
negative,'    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!'
negative,'   @Beansummer'
negative,'   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt '
negative,'   bed time now....'
positive,'   Faltam 4 dias para o World Drawing day'
negative,'   Friends like these ... no thanks, I not fake! ^ ^'
positive,'   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.'
negative,'   i think my bf is cheating on me!!!!'
positive,'   i wanna play with my camera but i will settle for playing with iv and heart monitors'
negative,'   i want an octo drive'
negative,'   I want to display my pretty voltron!  Upside, I get two pretty voltrons!'
negative,'   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn work'
negative,'   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight'
negative,'  --- is our response to what happened today. and that is all.'
negative,'   J, you are right... it hurts.'
negative,'   kinda but not really, but kinda '
negative,'   let have a moment of silence for our childhood homes... sadly, it can be replaced and we can never go back'
positive,'   lol all these #robotpickuplines are hilarious'
positive,'   man, oh man     (i should punch myself in the head, but im ok with that)'
positive,'   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew'
negative,'   No man is worth your tears, and the one that is won make you cry!'
negative,'   rain rain go away!'
negative,'   storms are scary!'
positive,'   such a beautiful satisfying day of bargain shopping. loves it.'
negative,'   Tell those girls your clocking out lol'
positive,'   thank god today is friday !!! I love Ti Ti! &lt;3'
negative,'   the batt to my internet connection died.  Guess its back to the mobile!'
positive,'   thrilled about being at work this morning'
positive,'   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....'
negative,'   www.apple.com/iphone now has it for the 18th'
negative,'  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot'
negative,'  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l'
negative,'                                           exhausted'
negative,'          i want some ben&amp;jerrys cake batter please ugh'
positive,'          my life is very lazzzzyyyy!!!!!!!            ***********'
negative,'        wish ella was on or somebody,,,,'
positive,'       ish in a good mood .....tlk to me'
negative,'      i think i going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean'
negative,'      what the hell BBC?'
negative,'     #canucks'
negative,'     I dont like this weekend.. Huhuhu ( ('
negative,'     Il get on it right away!'
positive,'-     J + A MADE NiCE..... TWiCE!                     for now ;]'
positive,'     loves life atm!   its brilliant XD'
positive,'     who else is in a happy mood?? =D'
positive,'    !BYE EVERYONE!'
negative,'    ...lonely night'
negative,'    blue does not work'
negative,'    geez I feeling their pain'
negative,'    i miss my summertime daley.'
negative,'    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        '
positive,'    SO FAR SO GOOD!'
positive,'    TODAY WAS A GREAT DAY!!!'
negative,'    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH'
negative,'   #Battleground'
positive,'   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot.'
negative,'   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt'
negative,'   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html'
negative,'   eh  must leave New Mexico and soon!'
negative,'   fail maths  i knew it i was just too slow'
negative,'   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries'
negative,'   fuck sake. Why can things never work out for me?'
negative,'-   going in town todaÑ‡ with mÑ‡ cousinnn, [Ñ‡]     netball match was cancelledd '
negative,'   hoping to see my baby girl'
negative,'   i don even know.'
negative,'   I just lost a member of my family'
negative,'   I SICK of bedtime battles'
negative,'   i so cold this morning......       i have chills all over.....'
negative,'   Just...'
negative,'   No no no. Tonight goes on the books as the worst SYTYCD results show.'
negative,'   no shopping'
negative,'  - Poor lil mousey, just out enjoying the sunny day. I don think I feel so bad if it was a big gnarly rat though. Dbl standard? Yep.'
negative,'  -- that an EPIC sad face.'
negative,'   This magazine story just broke my heart at the dentist office today:  http://tinyurl.com/ngbq2c'
positive,'   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy'
negative,'   wanna go meet wifey but can....  this sux   :('
negative,'   Wondering why I feel like I do...Il feel better though...Its all good! Il be happy inspite of...Tweet ya lata'
positive,'   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT WAY+ boy,it Gonna STAY added 2 the Master HOLY WAY: ALL HIS WILL+WAY'
negative,'  #IranElection - no one realizes how deep this goes.'
negative,'  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )'
negative,'  &lt; that is the story of my life, a whole bunch of frownies!'
negative,'               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME'
negative,'             i just want to hear from you. i guess that asking too much..'
positive,'       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl'
negative,'       i really2 don like this condition. sucksssssss'
negative,'       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!'
negative,'      rinitis sucks!!!!!'
positive,'      thanks for being the bestttttttttttttttttttt J-dawg'
negative,'     &gt;( &gt;(  i mad and sad right now. Played so terrible today in both soccer and basketball.'
negative,'     &lt;- but mustache man is not that desperate'
negative,'     &lt;--------- my face because i missing zoro tonight.'
negative,'     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*'
negative,'     angry'
positive,'     praise God for this beautiful day!!!'
negative,'     sry matt 2 hear that ('
negative,'     what the fucccckkkkkkkkkk'
negative,'    Bye World!!!!!!'
negative,'    i couldnt even have one fairytale night'
negative,'    Il be working when Pottercast/Lupins/Willows come near me.  FAIL.'
negative,'    My cell phone screen is dead.  Sooooooooooo, no texts and I don know who calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck'
negative,'    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, other day off school i guess'
negative,'    Nobody likes Year One in the reviews Ie read. I disappointed. But maybe now Il like it more since I not expecting much..'
negative,'   (must i say more?)'
negative,'   *old me dead and gone*'
negative,'   ... have to go now ??? 13 more minutes   ... please please please'
positive,'   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg'
positive,'   @PERFEKTnCHANCE (Chance) is Boo #29'
positive,'   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.'
negative,'   awwwww i really hate this.'
negative,'   bad day.'
negative,'   bad day.....damn you @311. What kind of ticket sale was that.....'
negative,'   Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc'
negative,'   bye guys!!!! ia miss yal sooo sooo much! but don worry il be back on monday!!! have an awesome weekend!!! peace!!!!'
negative,'   can i have some followers :( ... i so sad...    NOW THAT I LOSING HOPE -pressure'
negative,'   Couldn bless da mic w/ my bra in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk'
negative,'   CRY CRY CRY'
negative,'   F**kn day...'
negative,'   Goodnight'
negative,'   grandma is very sick. not doing well. going to the emergency room.'
positive,'   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!'
negative,'   I am going to shed tears if the Cavs have to go home tonight. Like seriously'
negative,'   i am soooo sad...at this point of night i be cuddling with jonathan like i did for 4 years'
negative,'   I hate you forever.'
positive,'   I have passed 70-542 exam today'
negative,'   i missed it'
negative,'   i still Feel like a Douchebag'
positive,'   I want to write a song. I think I will.'
positive,'- @serialseb Always thought time estimates should use alue of Pi rule (x 3.14). Only exception being i squared rule.'
positive,' @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS'
positive,'- @SlashHudson you tease, i wanna hear the tracks!! '
negative,' @sommacolada never answering my im'
positive,' @soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces'
negative,' @squarespace it now fathers day and you haven picked me...yet. I kind of want to incessantly bother you...#squarespace'
positive,' @SRenaeNae... What is ML'
positive,' @sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMINas heard on Conan 06/04/2009 ---... â™« http://blip.fm/~7qdf0'
positive,' @Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H'
positive,' @THEDIAMONDCOACH  Im sure he love that LOL'
positive,' @theenglishmuse on &quot;Karl Lagerfeld&quot;  Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm'
negative,' @TheIanCrawford is no longer in the Cab. To say I heartbroken is an understatement... good luck with everything! youe amazing ian.'
negative,' @va_songstress broke my twitter..'
negative,' @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn atm. a tech conference is a conf etc'
positive,' @weselec My avatar can figure out what you people are, either. http://tr.im/jj70'
negative,' @xxkirahxx is fulfilling my life ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?'
positive,' @yhf What happened to movies, anyway? It like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l'
negative,' @zochula just yelled at me for picking apple store over food.'
positive,' @ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk'
positive,' =&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7'
negative,' 1 of me cats kittens died only 3 days old too..RIP ming.'
negative,' 1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren transfered yet. #sadpanda #fb'
positive,'- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body. '
negative,' 3 hrs on da phone...lol dude is hilarious'
positive,'- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish'
negative,' 5 gb of video to upload to utube :O dam sony vegas making it so big'
negative,50.0
negative,' a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now'
positive,' A blessed sunday everyone!'
negative,'- a couple years of sickness all piled up to this one day'
positive,' A dog riding the bicycle http://bit.ly/gvMzD'
negative,' a fly just landed in my green chile stew. ie never been big on killing bugs, but this asshole asked for it. There goes my appetite'
positive,' A problem shared is a buck passed'
negative,' A_ just got the same handshake in her meeting. Vibe here sucks'
positive,' à¸”à¸¹à¹?à¸šà¹„à¸•à¹‹ hitech'
