ItemID,Sentiment,SentimentSource,SentimentText
1783,negative,Sentiment140,- dark angel is so cool. its unfair. i gonna go cut myself now
1784,negative,Sentiment140, David must be hospitalized for five days end of July (palatine tonsils).
1785,positive,Sentiment140, dear driay LOL emo kid god this so brings back merions ha year 6
1786,negative,Sentiment140, dear GOD...
1787,negative,Sentiment140, Delivery from Aussie Farmers didn work. The pity of living in a big apartment complex. Wished I had a house to use their services.
1788,positive,Sentiment140, Design with humor. Escape key on the run!-- http://ow.ly/3dfT
1789,positive,Sentiment140," despite my last tweet, I having a fantasticly sunny day (="
1790,negative,Sentiment140, destiney is out. though megan is still my favourite
1791,negative,Sentiment140, Detroit won the first game with a score of 3-1. Red Wings lead series 1-0. !
1792,negative,Sentiment140," devistated, Youl forever be in my heart Joshua. Shine on soldier. I can believe this."
1793,negative,Sentiment140, did not win my w and y tix...i am determined... excited for tonight yardhouse with my favesss... ONE WEEK!!!!!!
1794,negative,Sentiment140, dident die from the tornado ohh well lolâ™¥
1795,negative,Sentiment140, didn realize this was happing. sighed and it went all over. so much angst that i sigh blood. http://tinyurl.com/kt2fm4
1796,negative,Sentiment140, dis aint gud a heatstroke!
1797,negative,Sentiment140, disappointed the Cavs...
1798,positive,Sentiment140, discussing the importance of ed westwick &amp; chace crawford with mia.
1799,positive,Sentiment140, disneyland fireworks!
1800,positive,Sentiment140,"- do you want love or do you want fame, are you in the game? -Lady GaGa  such addictive beats! Getting ready to avoid wasting the day "
1801,negative,Sentiment140, does any1 know wut time its sposed to rain?
1802,negative,Sentiment140, Does anyone know how to treat a bug bite on a dog?
1803,negative,Sentiment140, does neone know what is the exact procedure of getting a DS 2019 issued ..and whether it costs for a summer intern ?
1804,negative,Sentiment140, doesn have contacts on &amp; can see =(
1805,negative,Sentiment140, Doesn know what to eat! What would you eat on very sensitive stomach after being sick?
1806,positive,Sentiment140, don ask... and if u do you will regret it alot
1807,negative,Sentiment140, don feel good
1808,negative,Sentiment140, dont go i got luv for my 100th follower lol @rashagirl28
1809,negative,Sentiment140, Don hope. Youl be disappointed
1810,negative,Sentiment140, dont know how im goin to go on. i cannot sleep. i keep thinking of her...
1811,negative,Sentiment140, don know why I bother
1812,negative,Sentiment140, don make fun of a concerned friend!
1813,negative,Sentiment140, don wanna think about cheating  my bf is going to Vegas this weekend. I decided not to go!
1814,negative,Sentiment140,-- don want to do all the housework tonight!
1815,positive,Sentiment140, Dream house!
1816,negative,Sentiment140," Dropping my mom off at the airport, then distracting myself from being sad with museum hopping in LA!"
1817,negative,Sentiment140, Dt exam tomo .... Doing revsion now  !
1818,negative,Sentiment140," i never get direct messages.. must not be exciting, hm? xD"
1819,negative,Sentiment140, i no feels good today
1820,positive,Sentiment140, I now remember why Ms. Janet Jackson is in my top 3.
1821,negative,Sentiment140, I only wanted him to wish me happy birthday.. So much for remembering. Its called facebook these days.
1822,positive,Sentiment140, i oove you. bahaa
1823,negative,Sentiment140,- I posted too early. San Jose just scored
1824,positive,Sentiment140, I really hope Peter Facinelli wins his bet......
1825,negative,Sentiment140, I really wanna go home. I HATE working late!
1826,negative,Sentiment140, i really wish i could have kept that kitten.... someone just picked it up. It will have a good home with no mean cat hissing at it
1827,negative,Sentiment140, i sat on my chocolate truffles.... so much for saving them for to night *tear
1828,negative,Sentiment140, i see how it is
1829,negative,Sentiment140, i should have picked that dog up! Oh no  someone go on the freeway off near bob hope and rescue the cute black dog
1830,negative,Sentiment140," I Shouldn Have Came! Its Not The Same Without My Best Friend @TootsiiePop ...  I 4Real Yll, I Miss My Sista.! I Bouta Cry "
1831,negative,Sentiment140, I shouldn miss you. &gt;_&lt;
1832,negative,Sentiment140, I slept for maybe an hour or two...even though i tried so hard to fall asleep cause i need my rest.
1833,negative,Sentiment140, i so don like going to the dentist
1834,negative,Sentiment140," I Still Cant Find My Phone , And I Cant Call It , Cause Its Dead"
1835,negative,Sentiment140, i swear to cheese &amp; crackers @songzyuuup is in Detroit like every 2 months &amp; i NEVER get to see him!  i swear this blows monkeyballs!
1836,negative,Sentiment140, i think i gain another 4kg
1837,negative,Sentiment140, i think i need a drink
1838,negative,Sentiment140, i think im going to bed now... sooo tired! nitey nite!
1839,positive,Sentiment140," i think its a good day, bang bang, dirty rich"
1840,positive,Sentiment140, I think its work time
1841,negative,Sentiment140, I think my friend has swine flu... FOR REAL  he in the hospital.
1842,negative,Sentiment140, i think my trachea is infected again.
1843,negative,Sentiment140, i thnk ima cry i feel rlly bad
1844,negative,Sentiment140, i thought i made some progress... Nope
1845,negative,Sentiment140, i totally know how you feel
1846,positive,Sentiment140, i wanna be like you (Demi)
1847,negative,Sentiment140, i wanna crawl in a ball..
1848,negative,Sentiment140, i wanna vote for Miley Cyrus and I cant!! I wanna live in the united states now!!
1849,negative,Sentiment140, i wanna watch the new ep but of course it ppv..put it on the pay members page too..please matt!!!
1850,negative,Sentiment140, I want all my friends back. (via @Mikejones37) as do I.  Happy for you mike.
1851,negative,Sentiment140, I want an unltimate maing room... free astros. XD
1852,negative,Sentiment140, i want baja california starbursts for some odd reason. :/
1853,negative,Sentiment140, i want iphone OS 3.0...how much longer must i wait? :] me eating french toast. Yum yum yum
1854,negative,Sentiment140, I want my Casanova &amp; Clopin.
1855,negative,Sentiment140, i want summer love! PLEASE LORDDD lol. im so patheticcc.
1856,negative,Sentiment140," I want the ham sandwich now, but diannaaaa is making me play pokemon."
1857,negative,Sentiment140, i want to b happy n content. tell me hw. - http://tweet.sg
1858,negative,Sentiment140, I want to but i can
1859,negative,Sentiment140," i want to enter in my old my space , but i forget the password"
1860,negative,Sentiment140, i want to get away!
1861,negative,Sentiment140, i want to get out of sm riiight now. it is draining my soul
1862,negative,Sentiment140, i want to go home get in bed. eat soup. watch friends season 5. all day. i feel like crap
1863,positive,Sentiment140, I want to go to the Teen Choice Awards!
1864,negative,Sentiment140, I want to move so fucking bad. I hate it here. I wish I never bought concert tickets because now I can move as soon as I want.
1865,negative,Sentiment140, dude bringing up memories now
1866,negative,Sentiment140, Eden missed a turn and then drifted. It was so damn scary. ((
1867,negative,Sentiment140, ehhh bad day
1868,positive,Sentiment140," elaina and sarah are over, watching movies and what not"
1869,negative,Sentiment140, electricity is out.
1870,negative,Sentiment140, Eliminated Me (KQs) SB x (AKo) CO-1 with a king in the flop.
1871,negative,Sentiment140," em chï¿½n cï¿½i trï¿½nh ?? English c?a th?ng AR47 quï¿½, v?y mï¿½ nï¿½ c? ng?i s?a em hoï¿½i huhu"
1872,negative,Sentiment140, Empty Nest...literally @ my fiancee.  I hope theye still around. They were SO CUTE &amp; I miss them!
1873,negative,Sentiment140, England what the hell :( :( #cricket # T20
1874,negative,Sentiment140, enough said.
1875,negative,Sentiment140,- eShoot canceled... It storming and raining in Tampa!
1876,negative,Sentiment140, europe cruise mite be cancelled; there was a fire that happened on our ship..... My summer is officialy ruined.
1877,negative,Sentiment140, even Poirot is not making my head feel better.
1878,negative,Sentiment140, even worse than I thought
1879,negative,Sentiment140," Ever since my brother got married, I feel so alone at home. Even though we seldom communicate but he presence at home is enough."
1880,negative,Sentiment140, everybody has jobs. I am going to be the only one without money.
1881,negative,Sentiment140," everybody that has my number and my BBM my phone is not working so will be getting a new phone on thursday.. THIS SUCKS, i love you yall"
1882,negative,Sentiment140, everyone deserves to be forgiven.
1883,positive,Sentiment140, everyone have an AWESOME wknd! yay for sunshine!
1884,negative,Sentiment140, everyones just set to &quot;Away&quot; on msn.. nobody to talk to :\
1885,positive,Sentiment140, Everything went as planned!!! Now I have many many many new souvenirs from #Herschel and #Planck
1886,positive,Sentiment140, everythings so fucking chilled atm  loving life right this minute. ooo dj am and trvs ayeeeeeeee i think sooo  FIX YOUR FACE 14 FTW.
1887,negative,Sentiment140, exams suck
1888,negative,Sentiment140, Exams!!!
1889,positive,Sentiment140, excellent morning! trying to take in the fact that theres only 1 more week left of school &quot;/
1890,positive,Sentiment140, Excited about purchasing my new MacBook Pro - should be here in a few days
1891,positive,Sentiment140, Excited. Dont think i will sleep tonight!
1892,negative,Sentiment140, failed my psychology class last semester. I don know if i want to go back in the fall now. Wow that depressing and whats even more
1893,positive,Sentiment140," fallen leaves, fallen leaves on the ground "
1894,negative,Sentiment140, fantastic..it probably cause of the messaging last night/morning..
1895,negative,Sentiment140, Farm Town isn connecting for me. And I have crops that need to be harvested. #fb
1896,negative,Sentiment140, Farrah Fawcett has passed away
1897,negative,Sentiment140, Farrah Fawcett... one less charlie angel but one more angel for god
1898,positive,Sentiment140, FBI: Terrorist Attack On Golden Gate Bridge May Have Been Green-Screened http://bit.ly/hdexD (via @TheOnion)
1899,negative,Sentiment140, fcked thing up for good no
1900,negative,Sentiment140," feel like crying. fucking bitch stealing my family, i want them back."
1901,negative,Sentiment140," Feel like shit. Choked on something last night &amp; now throat &amp; chest ache &amp; headache. Chicken noodle soup, sandwich, chips, then bed."
1902,negative,Sentiment140," Feel sorry for him, he kidless on father day."
1903,negative,Sentiment140, feeling sad that rapidshare.com acct has bn expired... #fb
1904,negative,Sentiment140, feeling very down this friday morning... i hate when i have time to think... i just get myself down /sigh
1905,positive,Sentiment140,- Figuredd out how to edit profilee  .. &amp; Levi youu dont need to do a 200 Calorie diet :S
1906,positive,Sentiment140, Final Destination 4 has a release date!! August 1st!!!!
1907,positive,Sentiment140, finally a good mood
1908,positive,Sentiment140, finally got my FMC tickets in the mail!!!!!!!!! yeeeeeeeeeeee
1909,positive,Sentiment140, finally linked my fone 2 twitter
1910,positive,Sentiment140, Finally! I finished a new item in my striped colorful knitted line! Want to see it? =&gt;&gt; http://bit.ly/UZtpT
1911,negative,Sentiment140, finally!! lol but  piccckkk mee uppp!!!
1912,negative,Sentiment140, Find it yet?
1913,negative,Sentiment140, fine. I should be anyway. see you at the 4th quarter.
1914,positive,Sentiment140, fingers crossed another enjoyable night cause of someoneeeee
1915,positive,Sentiment140,- finishing up my midterm project for web publishing class &amp; waiting to go over zachs house.
1916,negative,Sentiment140," Finn fell of the balcony, seems ok, but will know better in a few hours"
1917,negative,Sentiment140,-- First uni exam tomorrow
1918,negative,Sentiment140, Fix my puter... Its taking a dump.
1919,positive,Sentiment140, flordia- and @stellarkartband- where do u send in the pictures of the shrits? saw ur update on facebook
1920,negative,Sentiment140, Flower died.
1921,positive,Sentiment140, follow me
1922,positive,Sentiment140, Follow me on Twitter!  http://bit.ly/P1I1h
1923,negative,Sentiment140, food poisoning ?
1924,negative,Sentiment140, for once cant i be number one
1925,negative,Sentiment140, FORÃ‡A MEADD ! http://meadd.com/adrianoshevchenko/15425876
1926,negative,Sentiment140," forgot about my spanish essay. hopefully, i finish before 3 AM."
1927,positive,Sentiment140, Found a place to buy Secret Agent Sam. Now where to get it for free...
1928,negative,Sentiment140, Free Movie was sold out...wtf?
1929,positive,Sentiment140,- FRIDAY! ie caught a cold. How rubbish is that? At least ie got the whole weekend to spend in bed.
1930,positive,Sentiment140," Friday!!! Plus, woke up naturally, no nasty alarm. The world is so much nicer when the sun wakes you up instead of some radio dj "
1931,negative,Sentiment140, Friend emailed me a list of signs youe middle aged woman and I relate to 90%... incl. forgetfulness ...so I am now becoming my Mum
1932,negative,Sentiment140," from NCAVP report: 2008, with 29 total murders, has the highest number of deaths since 1999, and an increase of 28% from 2007"
1933,negative,Sentiment140, from seeing all my koreans buisnesses failing.
1934,negative,Sentiment140, fuck it
1935,negative,Sentiment140, fuck overtime!
1936,negative,Sentiment140," fuck that, Dev is clearly superior."
1937,negative,Sentiment140, fuckin ugh...
1938,negative,Sentiment140, fxcking tired and sooo cold
1939,negative,Sentiment140, gdocs letting me down. Not saving and not sharing. One more go.
1940,negative,Sentiment140, get better friend. It sucks not to be able to taste. So sorry
1941,positive,Sentiment140, Getting close to 2K followers!  I feel a chocolate party coming on! You are all invited
1942,negative,Sentiment140,- Getting r done.. 16 hrs of work behind me. Not sure how many left in front
1943,positive,Sentiment140, Getting ideas for my room revamp!
1944,positive,Sentiment140," getting ready for school. after i print out this song, fancy, i know."
1945,negative,Sentiment140, getting ready for work ....  def should have stayed in last night
1946,positive,Sentiment140,- getting ready to go on a date
1947,negative,Sentiment140, gettn meds for my baby. he got a stuffy nose and now a cough. his 1st time getting sick
1948,negative,Sentiment140,- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!
1949,negative,Sentiment140, girls are so mean now a days damn
1950,negative,Sentiment140, Git version of Gnome Shell broke Compiz. Still get nice clutter effects though.
1951,positive,Sentiment140, glad I could help...or not depending on how much $ you spend ;)
1952,positive,Sentiment140, glade you liked it il be over in a few minutes
1953,negative,Sentiment140, i want to shop!! - http://tweet.sg
1954,negative,Sentiment140," I want to take pieces of the past and bring them to the present.Things Would Change.A life without you,That wouldn be the same.. ?"
1955,negative,Sentiment140, I wanted Taj to win
1956,negative,Sentiment140, I wanted the cavs to win it all! Defense wins the game Cavs.... I don like loosing and I know this is alot of pressure on Bron.
1957,negative,Sentiment140, i wasted more than a roll of film.
1958,negative,Sentiment140, i will txt you when i get back from oc. Maybe we can do something. Ill make you feel better. . Na mean. Lol jk
1959,negative,Sentiment140, i wish he knew how much i miss him...
1960,negative,Sentiment140, I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha
1961,negative,Sentiment140," I wish I lived far far away, in a fairytale land.... With lots of happiness and love... Ahhhh to daydream"
1962,negative,Sentiment140, i wish i was famous.
1963,negative,Sentiment140, I wish I were there.
1964,negative,Sentiment140, I WISH IT WAS SUMMER TIME.....
1965,negative,Sentiment140, I wish Mark was here
1966,negative,Sentiment140, i wish paramore won for best song... boo
1967,negative,Sentiment140, I wish this was easier!!
1968,positive,Sentiment140, i woke up! Lol ~
1969,negative,Sentiment140,"-- I won feel guilty and like I should be revising stuff after today, haha "
1970,negative,Sentiment140," I work the next 4 days, 8 hours each day. No fun."
1971,negative,Sentiment140, i... have to start... work... tomorrow......................
1972,positive,Sentiment140, icant stop smiling! Especially thinking of the time we ran to the train...
1973,negative,Sentiment140, idk why i  so sad  i need to somone right now
1974,negative,Sentiment140,- Ii cant beleivee the ppl that imm losinng
1975,negative,Sentiment140, il be leaving home tomorrow.
1976,negative,Sentiment140, ill deff be going up early on Tuesday will you? What time at?
1977,negative,Sentiment140, Il get home like 5pm today it will be a long day no hangover just my body is drain out n my legs hurt ;-( I dehrydrated
1978,positive,Sentiment140, Il get my son Tommi to visit at me tomorrow from Oulu. So nice )
1979,negative,Sentiment140, I a sad panda today. I want a slurpee damnit!
1980,negative,Sentiment140," I about to turn down a great job offer in LA. Raise, paid for accomodations, rental car, weekly expenses paid...I have my reasons."
1981,positive,Sentiment140, im almost done with this portrait. woo. hmm.. maybe i should draw andrew bisante with my new pastels !!
1982,positive,Sentiment140, I back online!
1983,positive,Sentiment140," im back, but now going offline seeya guys  have fun on twitterrr~  night lvoe ya."
1984,negative,Sentiment140, im being attacked by a moth!!  its scary stuff  haha!
1985,negative,Sentiment140, I being confused..
1986,negative,Sentiment140, i board :b and happy for tomorrow
1987,negative,Sentiment140, I Bored... Bored....Bored Again And Developing A Headache And I Want A Piece Of Carrot Cake mmm
1988,negative,Sentiment140, I boreddddd...rain rain go away.
1989,negative,Sentiment140," im buzzed and followed friends to punk ass bar, possibility of me getnin laid minimal "
1990,negative,Sentiment140," Im crushed, How could i have been so stupid?... ~!$@M@NTH@ !~"
1991,negative,Sentiment140, I depressed about the cavs loss now I checking out the Da Vinci Code for the first time!
1992,negative,Sentiment140, Im dying of thirst and I wish I was in a large body of water somewhere in Hawaii!! Anything with clear water actually!!!
1993,positive,Sentiment140, I exactly where I want to be. ))
1994,negative,Sentiment140," I exhausted. Having pasta soon, thank god."
1995,positive,Sentiment140, im followin demi she rocks
1996,negative,Sentiment140, I freaking out    ~ I got something to admit ~
1997,negative,Sentiment140, im fukin bored im goin on gs 4 a bit
1998,positive,Sentiment140, finally awake!!!!
1999,positive,Sentiment140,- finally catching the new episode of college hill.
2000,positive,Sentiment140, finally finished. now i can sleep peacefully!
2001,positive,Sentiment140, Finally Friday!
2002,positive,Sentiment140,- Finally got twitter.... trynna see what the hype is about
2003,negative,Sentiment140, fine i just wanted to share with u the greatness of baby soup. and how it contributes to a cannibal society!
2004,negative,Sentiment140, fine. Il watch it. I am so f**king rad.
2005,negative,Sentiment140,"- finished watching FRIENDS  so sad, WHY WHYYYYYY DID IT HAD TO ENNNDDDD &gt;=[[["
2006,positive,Sentiment140," finishing up this stupid project then off for fun! sundress, booze and sunshine... I love this country!"
2007,negative,Sentiment140, Firefox will not start or uninstall. i hate it sometimes.
2008,negative,Sentiment140, First time in a long time Wikipedia has failed me
2009,positive,Sentiment140, fishing today? GO AWAY RAIN!!!
2010,negative,Sentiment140,- Five in the morn and am awake wiv a migraine
2011,negative,Sentiment140, Flash lost my frisby on a roof. Sad days LOL
2012,negative,Sentiment140," FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;("
2013,negative,Sentiment140, folk taking about me at morning break 2day
2014,positive,Sentiment140, folllow me
2015,positive,Sentiment140, FOOD!
2016,negative,Sentiment140, For a minute there I was all happy thinking it was THIS Tuesday we finished.
2017,negative,Sentiment140," For the first time ever, my iPhone crashed iTunes 3 times in a row. Also crashed &quot;Apple Moble Device Helper.&quot; WTF? Apple? Twitterrific?"
2018,positive,Sentiment140,"- for trish: sa right side ng reply ko, may star and arrow. click the arrow para maka-reply ka. hehehe. "
2019,negative,Sentiment140, Forgot about them science exams tbh (N)
2020,positive,Sentiment140, Found her JRM icons!
2021,positive,Sentiment140," found my BBerry in the office, thanks God, one entire weekend without was enough!!!"
2022,negative,Sentiment140, foxtell is so depressing
2023,negative,Sentiment140, freaking out about the exam.
2024,positive,Sentiment140,-- french test! oh gawdd.. lol  fashion show tonite!  come watch &lt;3
2025,negative,Sentiment140, frenchies cheering sod. hurts my SOUL.
2026,positive,Sentiment140,- fresh out the shower. I wanna go to the movies tonight
2027,negative,Sentiment140, fuck it all
2028,negative,Sentiment140, fuck you 2009...
2029,negative,Sentiment140, fun time. so tired. train to boston soon
2030,positive,Sentiment140,"- FUNNY - Cold nose, COLD NOSE!! - REALLLYYYY COLD NOSE - watch till end if u wana laugh  http://bit.ly/pvgtM"
2031,negative,Sentiment140, funny how quick yr mood can change.
2032,negative,Sentiment140, gaaaahhhhh! If I started all this....
2033,negative,Sentiment140, gye FL crew! until dragon*con!
2034,negative,Sentiment140,GERD is acting up.  fml.
2035,negative,Sentiment140, Gettin a divorce   *Str@ng3r !n my h0us3*
2036,positive,Sentiment140,- getting my Battlestar fix!
2037,negative,Sentiment140," getting rid of the z28 camaro. Its a said day. If anyone wants it, come get it. Its also on ebay"
2038,positive,Sentiment140,Gimme a hug  thats soooo cute :p
2039,negative,Sentiment140," Girlfriend is in surgery, nothing really serious, but I hate she has to have total narcosis."
2040,negative,Sentiment140, gloomy outside... pajamas all day? sounds like a plan to me.
2041,negative,Sentiment140, Gmail isn connecting on my iphone. Is gmail down?
2042,positive,Sentiment140," gnight to all. oh, if you have the time, look up Marcus Schossow, he amazing. Girls Suckcces (Dub Mix) is my personal fave "
2043,positive,Sentiment140,"- go &amp; try the yummo &amp; super hot lecing kangkung+ ayam bakar taliwang.. **sexy food from exotic country,Indonesia "
